,date,tsla_compound,tsla_sentiment
351,2016-09-14,-1.8075,-1
352,2016-09-15,3.0805,1
353,2016-09-16,-1.5330000000000001,-1
354,2016-09-19,-0.3188,-1
355,2016-09-20,-0.5343,-1
356,2016-09-21,0.0,-1
357,2016-09-22,-1.179,-1
358,2016-09-23,0.0,-1
359,2016-09-26,0.1952,1
360,2016-09-27,0.0,-1
361,2016-09-28,-0.4404,-1
362,2016-09-29,-0.8259,-1
363,2016-09-30,-0.0918,-1
364,2016-10-02,0.0,-1
365,2016-10-03,0.0258,1
366,2016-10-04,0.2732,1
367,2016-10-05,0.0,-1
368,2016-10-06,0.1027,1
369,2016-10-07,0.0,-1
370,2016-10-08,0.0,-1
371,2016-10-10,-0.6355,-1
372,2016-10-11,0.0,-1
373,2016-10-12,0.8038,1
374,2016-10-13,0.0,-1
375,2016-10-16,0.0,-1
376,2016-10-17,0.07300000000000001,1
377,2016-10-18,0.3251,1
378,2016-10-19,0.6369,1
379,2016-10-20,0.0,-1
380,2016-10-22,0.0,-1
381,2016-10-24,0.0516,1
382,2016-10-25,0.0,-1
383,2016-10-26,0.6829,1
384,2016-10-27,2.1196,1
385,2016-10-28,0.0,-1
386,2016-10-30,0.0,-1
387,2016-10-31,0.4588,1
388,2016-11-01,-0.3182,-1
389,2016-11-02,0.0,-1
390,2016-11-03,-0.4588,-1
391,2016-11-04,0.8254999999999999,1
392,2016-11-05,-0.4404,-1
393,2016-11-07,0.7365000000000002,1
394,2016-11-08,0.7096,1
395,2016-11-09,-0.038500000000000034,-1
396,2016-11-10,0.3818,1
397,2016-11-11,-0.4019,-1
398,2016-11-14,0.0,-1
399,2016-11-15,1.1288,1
400,2016-11-16,-0.4939,-1
401,2016-11-17,0.5574,1
402,2016-11-18,0.1975,1
403,2016-11-20,0.0,-1
404,2016-11-23,0.9997,1
405,2016-11-25,0.0,-1
406,2016-11-28,-0.34,-1
407,2016-11-29,0.0,-1
408,2016-12-01,-1.3763999999999998,-1
409,2016-12-02,-0.196,-1
410,2016-12-03,0.0,-1
411,2016-12-05,0.0,-1
412,2016-12-06,0.8371,1
413,2016-12-07,0.07700000000000001,1
414,2016-12-08,0.3818,1
415,2016-12-09,0.0772,1
416,2016-12-11,-0.2732,-1
417,2016-12-12,0.6771,1
418,2016-12-13,0.0,-1
419,2016-12-14,-0.4588,-1
420,2016-12-15,0.0,-1
421,2016-12-17,0.0,-1
422,2016-12-20,0.0,-1
423,2016-12-21,0.8126,1
424,2016-12-22,0.6444,1
425,2016-12-23,0.0,-1
426,2016-12-27,0.5920000000000001,1
427,2016-12-28,1.1014,1
428,2016-12-30,-0.9051,-1
429,2017-01-03,0.6197,1
430,2017-01-04,1.511,1
431,2017-01-05,0.2997000000000001,1
432,2017-01-06,0.0,-1
433,2017-01-09,0.0,-1
434,2017-01-10,-0.2263,-1
435,2017-01-11,0.0,-1
436,2017-01-12,0.3308,1
437,2017-01-13,0.6369,1
438,2017-01-17,0.2263,1
439,2017-01-18,0.7769999999999999,1
440,2017-01-19,0.04179999999999984,1
441,2017-01-20,0.0,-1
442,2017-01-24,-0.25,-1
443,2017-01-25,0.0,-1
