date,compound,neg,neu,pos
2016-09-26,-0.4588,0.214,1.786,0.0
2016-09-27,-0.13050000000000006,0.368,6.3580000000000005,0.274
2016-09-28,-2.0624000000000002,1.5319999999999998,5.928,0.54
2016-09-29,-0.07700000000000001,0.273,1.5699999999999998,0.157
2016-09-30,-0.9176,0.39,2.61,0.0
2016-10-03,-0.2005,0.199,4.571,0.23
2016-10-04,-0.3816,0.378,1.4420000000000002,0.18
2016-10-05,0.0,0.214,2.572,0.214
2016-10-06,0.7787000000000003,0.504,5.683,0.8130000000000001
2016-10-07,1.2993999999999999,0.0,1.925,1.075
2016-10-10,0.9381999999999999,0.238,3.807,0.955
2016-10-12,-2.6756,1.4409999999999998,6.3790000000000004,0.18
2016-10-13,0.4703,0.0,1.867,0.133
2016-10-14,-0.07700000000000001,0.41400000000000003,5.008,0.5780000000000001
2016-10-17,2.593,0.0,3.7259999999999995,1.274
2016-10-18,-0.7632,0.809,2.8310000000000004,0.36
2016-10-19,-1.8352,0.78,6.220000000000001,0.0
2016-10-20,-0.4588,0.273,0.727,0.0
2016-10-21,0.4588,0.0,0.786,0.214
2016-10-22,0.0,0.0,1.0,0.0
2016-10-24,0.1779,0.0,0.702,0.298
2016-10-25,-3.0572000000000004,1.7559999999999998,6.8839999999999995,0.36
2016-10-26,0.1779,0.0,0.825,0.175
2016-10-27,-0.4588,0.273,1.7269999999999999,0.0
2016-10-28,-0.16799999999999998,0.34299999999999997,2.444,0.214
2016-10-31,0.0,0.0,2.0,0.0
2016-11-01,1.3726,0.164,3.8800000000000003,0.956
2016-11-02,0.6405,0.25,8.950000000000001,0.8
2016-11-03,-1.4563000000000001,1.548,13.727,0.7250000000000001
2016-11-04,-0.655,0.385,1.615,0.0
2016-11-07,0.5719,0.113,2.542,0.345
2016-11-08,-0.18049999999999994,0.516,3.006,0.478
2016-11-09,0.0,0.0,1.0,0.0
2016-11-10,1.6501000000000001,0.33399999999999996,4.446,1.22
2016-11-11,1.3193000000000001,0.0,2.057,0.943
2016-11-14,-0.296,0.155,1.845,0.0
2016-11-15,2.6835,0.22,4.0,1.78
2016-11-16,-0.25060000000000004,0.532,3.9779999999999998,0.49
2016-11-17,1.1741,0.405,4.864,1.731
2016-11-18,0.296,0.0,1.732,0.268
2016-11-20,-0.6908,0.533,0.467,0.0
2016-11-21,-0.03289999999999993,0.624,6.6579999999999995,0.718
2016-11-22,-1.4282,0.885,4.115,0.0
2016-11-23,-5.7865,2.682,12.159,0.159
2016-11-25,-0.9176,0.504,1.496,0.0
2016-11-28,-0.3308,0.385,1.476,0.139
2016-11-29,0.46329999999999993,0.352,3.063,0.585
2016-11-30,0.5570999999999999,0.939,4.754,1.307
2016-12-01,0.3707,0.64,4.678,0.6819999999999999
2016-12-02,0.25510000000000005,0.331,3.284,0.385
2016-12-05,-0.8030999999999999,0.7210000000000001,4.816,0.463
2016-12-06,0.8225,0.0,1.411,0.589
2016-12-07,-2.7528,1.194,5.806,0.0
2016-12-08,-0.2023,0.33,1.426,0.245
2016-12-09,0.01150000000000001,0.231,5.647,0.122
2016-12-11,0.0,0.0,1.0,0.0
2016-12-12,0.296,0.0,2.909,0.091
2016-12-13,-0.9176,0.41400000000000003,3.5860000000000003,0.0
2016-12-14,0.7713000000000001,0.854,6.196999999999999,0.948
2016-12-15,-2.3944,1.508,7.491999999999999,0.0
2016-12-16,-0.2748,0.41300000000000003,4.301,0.286
2016-12-19,1.1112,0.181,4.946000000000001,0.873
2016-12-20,-0.7655000000000001,0.718,4.782,0.5
2016-12-21,-1.8352,0.804,4.196,0.0
2016-12-22,-0.4588,0.214,1.786,0.0
2016-12-23,-0.4588,0.214,1.786,0.0
2016-12-27,0.4588,0.0,0.786,0.214
2016-12-28,0.39570000000000005,0.44799999999999995,2.582,0.9690000000000001
2016-12-29,-1.0804,0.64,5.232,0.128
2016-12-30,-0.4588,0.2,0.8,0.0
2017-01-03,0.5719,0.39,5.779000000000001,0.831
2017-01-04,0.4939,0.0,1.846,0.154
2017-01-05,-0.4588,0.214,0.786,0.0
2017-01-09,0.8509,0.25,5.183,0.567
2017-01-10,0.6945,0.326,4.975,0.6990000000000001
2017-01-11,0.1452,0.166,4.2829999999999995,0.5509999999999999
2017-01-12,0.2263,0.316,3.3040000000000003,0.38
2017-01-13,1.0556999999999999,0.468,5.248,1.2839999999999998
2017-01-15,-0.4767,0.307,0.693,0.0
2017-01-16,-0.6705,0.355,0.645,0.0
2017-01-17,-0.39239999999999986,0.42600000000000005,3.199,0.375
2017-01-18,-0.9457,0.611,2.3890000000000002,0.0
2017-01-20,-0.3612,0.185,0.815,0.0
2017-01-24,0.0,0.0,1.0,0.0
2017-01-25,0.5267,0.0,2.714,0.286
2017-01-26,-0.7003,0.8140000000000001,3.918,0.268
2017-01-27,1.3011,0.115,3.1279999999999997,0.757
2017-01-29,0.0,0.0,1.0,0.0
2017-01-30,0.44289999999999996,0.33,3.144,0.526
2017-01-31,1.1255,0.104,4.11,0.786
2017-02-01,0.8515000000000001,0.145,9.012,0.843
2017-02-02,-1.1446,1.169,9.456000000000001,0.375
2017-02-03,0.592,0.0,1.836,0.16399999999999998
2017-02-06,0.5821999999999999,0.375,2.891,0.734
2017-02-07,0.0,0.0,1.0,0.0
2017-02-08,1.2306,0.116,3.224,0.6599999999999999
2017-02-09,2.412,0.248,3.327,1.4249999999999998
2017-02-10,0.0258,0.0,2.82,0.18
2017-02-13,0.296,0.0,0.922,0.078
2017-02-14,0.0,0.0,1.0,0.0
2017-02-15,0.0,0.0,1.0,0.0
2017-02-16,0.0,0.0,1.0,0.0
2017-02-17,0.296,0.0,0.922,0.078
2017-02-20,0.4019,0.093,0.683,0.224
2017-02-21,0.7723,0.113,8.539,0.349
2017-02-22,0.7175,0.0,3.708,0.292
2017-02-23,-0.5342,0.189,1.714,0.097
2017-02-24,0.0,0.0,1.0,0.0
2017-02-27,0.9379,0.07,3.3209999999999997,0.609
2017-03-01,-0.2732,0.208,0.792,0.0
2017-03-02,-0.2732,0.296,0.704,0.0
2017-03-03,0.5539000000000001,0.177,2.552,0.271
2017-03-07,-2.0312,1.05,4.95,0.0
