,date,em_tweets3_compound,em_tweets3_sentiment
428,2015-03-21,0.5219,1
429,2015-03-22,0.5859,1
430,2015-03-23,-0.0414,-1
431,2015-03-24,-0.3020999999999999,-1
432,2015-03-30,0.0,-1
433,2015-03-31,0.7412000000000001,1
434,2015-04-01,0.5859,1
435,2015-04-04,-0.4588,-1
436,2015-04-06,1.0065,1
437,2015-04-09,0.0,-1
438,2015-04-11,1.1308,1
439,2015-04-12,0.4926,1
440,2015-04-13,1.1499,1
441,2015-04-14,0.4869,1
442,2015-04-15,-0.4277,-1
443,2015-04-18,0.7198,1
444,2015-04-19,1.1597,1
445,2015-04-23,0.4215,1
446,2015-04-27,1.1888999999999998,1
447,2015-04-29,0.4404,1
448,2015-04-30,0.8779,1
449,2015-05-01,0.6947,1
450,2015-05-02,0.0,-1
451,2015-05-03,0.8200000000000001,1
452,2015-05-04,0.4927,1
453,2015-05-05,-0.6597,-1
454,2015-05-06,0.2023,1
455,2015-05-12,1.0802999999999998,1
456,2015-05-19,0.0,-1
457,2015-05-22,1.0773,1
458,2015-05-27,0.34,1
459,2015-06-01,0.7906,1
460,2015-06-12,0.4926,1
461,2015-06-15,1.2128,1
462,2015-06-19,0.8398,1
463,2015-06-23,0.4939,1
464,2015-06-27,2.7551,1
465,2015-06-28,0.6125,1
466,2015-06-29,0.0,-1
467,2015-07-06,0.0258,1
468,2015-07-17,0.0,-1
469,2015-07-18,-0.3612,-1
470,2015-07-27,0.0,-1
471,2015-07-28,-0.3195000000000001,-1
472,2015-07-30,1.2022,1
473,2015-07-31,0.4731,1
474,2015-08-06,-0.022000000000000002,-1
475,2015-08-08,0.0,-1
476,2015-08-16,0.6249,1
477,2015-08-17,0.0,-1
478,2015-08-22,1.1154,1
479,2015-09-02,0.1531,1
480,2015-09-12,0.4926,1
481,2015-09-13,0.4588,1
482,2015-09-14,1.3167,1
483,2015-09-23,0.7783,1
484,2015-09-25,0.6369,1
485,2015-09-27,0.6249,1
486,2015-09-29,0.4588,1
487,2015-09-30,-0.3535,-1
488,2015-10-02,2.4127,1
489,2015-10-03,0.6369,1
490,2015-10-09,1.5125,1
491,2015-10-10,0.0,-1
492,2015-10-11,0.5597000000000001,1
493,2015-10-14,0.6808,1
494,2015-10-15,1.2855,1
495,2015-10-17,1.2966,1
496,2015-10-19,0.7906,1
497,2015-10-21,2.8893,1
498,2015-10-22,1.1311,1
499,2015-10-23,1.9091,1
500,2015-10-25,2.4159,1
501,2015-10-26,1.2077,1
502,2015-10-27,0.765,1
503,2015-10-29,-0.031000000000000024,-1
504,2015-10-30,0.8478,1
505,2015-11-01,0.0,-1
506,2015-11-02,0.3382,1
507,2015-11-04,0.0,-1
508,2015-11-08,0.4574,1
509,2015-11-20,1.5919,1
510,2015-11-24,2.6176,1
511,2015-12-02,0.0,-1
512,2015-12-03,0.4404,1
513,2015-12-04,0.4753,1
514,2015-12-06,0.8807,1
515,2015-12-09,0.5859,1
516,2015-12-10,0.4263,1
517,2015-12-11,0.0,-1
518,2015-12-17,0.0,-1
519,2015-12-18,1.0619999999999998,1
520,2015-12-19,1.2627000000000002,1
521,2015-12-20,0.743,1
522,2015-12-21,0.4588,1
523,2015-12-22,2.134,1
524,2016-01-01,0.4075,1
525,2016-01-02,0.0772,1
526,2016-01-10,0.2057,1
527,2016-01-11,-0.4404,-1
528,2016-01-12,1.1496,1
529,2016-01-16,0.0644,1
530,2016-01-17,2.395,1
531,2016-01-18,0.4404,1
532,2016-01-19,0.9246,1
533,2016-01-20,0.0,-1
534,2016-01-23,0.4019,1
535,2016-02-03,-0.128,-1
536,2016-02-05,-0.29600000000000004,-1
