,date,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target
768,2013-04-17,267.4,3135100,1.2555391432791854,1,-0.018139090842329453,-1,272.34,-0.5654696335462891,-1,-1,1,-1
769,2013-04-18,259.42,3137600,2.769761253326332,1,-0.02984293193717258,-1,267.4,-0.22064323111442596,-1,-1,1,-1
770,2013-04-19,260.32,2602500,-0.8366904245429068,-1,0.0034692776193046004,1,259.42,-0.48569886670264084,-1,1,-1,-1
771,2013-04-22,263.55,2119100,-1.6194331983805623,-1,0.012407805777504777,1,260.32,-0.37261831591885775,-1,1,-1,-1
772,2013-04-23,268.9,2270600,-1.6635160680529215,-1,0.020299753367482243,1,263.55,0.36046291026370275,1,1,-1,1
773,2013-04-24,268.78,1852800,0.267161410018563,1,-0.0004462625511342244,-1,268.9,0.2231312755671338,1,-1,1,1
774,2013-04-25,274.7,6116500,-1.1674584760431688,-1,0.02202544832204789,1,268.78,1.0231416027978273,1,1,-1,1
775,2013-04-26,254.81,14030000,5.615438752453985,1,-0.07240626137604655,-1,274.7,-1.7218784128139648,-1,-1,1,-1
776,2013-04-29,249.74,7117000,2.0243232640251065,1,-0.019897178289706052,-1,254.81,0.03532043483379907,1,-1,1,1
777,2013-04-30,253.81,4248800,-1.7804868268035439,-1,0.0162969488267799,1,249.74,-0.14815408024345503,-1,1,-1,-1
778,2013-05-01,248.23,4391400,2.233162662465544,1,-0.021984949371577245,-1,253.81,0.03545959576060967,1,-1,1,1
779,2013-05-02,252.55,3936200,-1.4501486301920197,-1,0.01740321476050455,1,248.23,0.2860250574064408,1,1,-1,1
780,2013-05-03,258.05,3514000,-0.7456859529944659,-1,0.021777865769154525,1,252.55,1.4215006929320828,1,1,-1,1
781,2013-05-06,255.72,2347800,0.9182843194234477,1,-0.009029257895756704,-1,258.05,0.01550087192403163,1,-1,1,1
782,2013-05-07,257.73,3133700,-0.5540166204986212,-1,0.007860159549507362,1,255.72,0.2307211012044437,1,1,-1,1
783,2013-05-08,258.68,2677000,-0.7046365866002267,-1,0.003686028013812903,1,257.73,-0.33368253598727876,-1,1,-1,-1
784,2013-05-09,260.16,2769300,-0.5526997255826563,-1,0.005721354569352188,1,258.68,0.01932890057213985,1,1,-1,1
785,2013-05-10,263.63,3145300,-1.0541245016865992,-1,0.01333794587945869,1,260.16,0.27675276752766387,1,1,-1,1
786,2013-05-13,264.51,2149500,-0.6621760474940097,-1,0.0033380116071766164,1,263.63,-0.32621477070136695,-1,1,-1,-1
