,date,cloudera_close,cloudera_vol,cloudera_intra_perc_change,cloudera_intra_returns,cloudera_pct_change,cloudera_pct_returns,cloudera_previous_close,cloudera_opening_change,cloudera_opening_returns,cloudera_target,cloudera_intra_target,cloudera_open_target
147,2017-11-27,16.35,1783600,-0.925925925925939,-1,0.007393715341959428,1,16.23,-0.18484288354899037,-1,1,-1,-1
148,2017-11-28,16.49,1308500,-0.9179926560587428,-1,0.008562691131498212,1,16.35,-0.061162079510712924,-1,1,-1,-1
149,2017-11-29,15.61,2186100,-1.1665586519766669,-1,-0.05336567616737409,-1,16.49,-6.428138265615517,-1,-1,-1,-1
150,2017-11-30,15.83,1293000,-0.6997455470737877,-1,0.014093529788597126,1,15.61,0.7046764894298605,1,1,-1,1
151,2017-12-01,15.92,1147300,-1.1435832274459956,-1,0.005685407454200986,1,15.83,-0.5685407454200876,-1,1,-1,-1
152,2017-12-04,15.57,1230300,2.8089887640449396,1,-0.02198492462311552,-1,15.92,0.6281407035175857,1,-1,1,1
153,2017-12-05,15.99,1522300,-2.763496143958867,-1,0.026974951830443183,1,15.57,-0.06422607578676806,-1,1,-1,-1
154,2017-12-06,15.73,1233600,1.1934673366834139,1,-0.016260162601625994,-1,15.99,-0.43777360850531755,-1,-1,1,-1
155,2017-12-07,16.0,3057800,-1.394169835234478,-1,0.017164653528289886,1,15.73,0.3178639542275838,1,1,-1,1
156,2017-12-08,16.84,10016600,1.8648018648018665,1,0.05249999999999999,1,16.0,7.250000000000001,1,1,1,1
157,2017-12-11,16.92,2948800,-0.4750593824228138,-1,0.004750593824228044,1,16.84,0.0,-1,1,-1,-1
158,2017-12-12,16.4,6319000,1.4423076923077043,1,-0.030732860520094718,-1,16.92,-1.6548463356974061,-1,-1,1,-1
159,2017-12-13,16.83,2577300,-2.496954933008505,-1,0.026219512195121863,1,16.4,0.1219512195122142,1,1,-1,1
160,2017-12-14,17.42,5175800,-3.5671819262782485,-1,0.03505644682115294,1,16.83,-0.059417706476518194,-1,1,-1,-1
161,2017-12-15,17.51,11560000,-0.22896393817975216,-1,0.005166475315729002,1,17.42,0.28702640642937516,1,1,-1,1
162,2017-12-18,17.42,2464600,0.45714285714284736,1,-0.0051399200456881955,-1,17.51,-0.05711022272987757,-1,-1,1,-1
163,2017-12-19,17.05,2507900,1.6724336793540895,1,-0.021239954075775058,-1,17.42,-0.459242250287037,-1,-1,1,-1
164,2017-12-20,17.28,1701500,0.11560693641618251,1,0.013489736070381175,1,17.05,1.4662756598240467,1,1,1,1
165,2017-12-21,17.42,1537900,-1.1027278003482373,-1,0.00810185185185186,1,17.28,-0.28935185185185597,-1,1,-1,-1
166,2017-12-22,17.43,1071600,-0.40322580645161454,-1,0.0005740528128586053,1,17.42,-0.3444316877152828,-1,1,-1,-1
167,2017-12-26,16.76,1202800,3.2332563510392536,1,-0.03843947217441179,-1,17.43,-0.6310958118187001,-1,-1,1,-1
168,2017-12-27,16.81,905800,-0.5984440454817347,-1,0.002983293556085842,1,16.76,-0.2983293556085961,-1,1,-1,-1
169,2017-12-28,16.67,587300,0.5369928400954644,1,-0.008328375966686341,-1,16.81,-0.2974419988102151,-1,-1,1,-1
170,2017-12-29,16.52,1023900,0.7211538461538521,1,-0.008998200359928155,-1,16.67,-0.1799640071985671,-1,-1,1,-1
171,2018-01-02,17.39,1602900,-5.9074299634591885,-1,0.052663438256658646,1,16.52,-0.6053268765133043,-1,1,-1,-1
172,2018-01-03,17.53,868100,-1.3294797687861297,-1,0.008050603795284772,1,17.39,-0.517538815411155,-1,1,-1,-1
173,2018-01-04,17.25,904100,1.4848657909765937,1,-0.01597261836851116,-1,17.53,-0.11409013120364844,-1,-1,1,-1
174,2018-01-05,17.25,626200,0.0,-1,0.0,-1,17.25,0.0,-1,-1,-1,-1
175,2018-01-08,17.15,866200,0.29069767441860883,1,-0.005797101449275477,-1,17.25,-0.28985507246377223,-1,-1,1,-1
176,2018-01-09,17.18,844100,-0.35046728971961866,-1,0.001749271137026387,1,17.15,-0.17492711370260983,-1,1,-1,-1
177,2018-01-10,18.28,3977000,-3.0439684329199705,-1,0.06402793946449359,1,17.18,3.2596041909196667,1,1,-1,1
178,2018-01-11,17.91,1685800,2.557127312295968,1,-0.020240700218818408,-1,18.28,0.5470459518599445,1,-1,1,1
179,2018-01-12,18.14,2226000,-0.22099447513811685,-1,0.012841987716359693,1,17.91,1.0608598548297112,1,1,-1,1
180,2018-01-16,17.44,2469500,5.010893246187354,1,-0.03858875413450935,-1,18.14,1.2127894156560026,1,-1,1,1
181,2018-01-17,17.88,1164700,-1.7064846416382295,-1,0.025229357798165042,1,17.44,0.8027522935779645,1,1,-1,1
182,2018-01-18,18.68,3476300,-4.532736429770558,-1,0.044742729306487705,1,17.88,-0.055928411633098495,-1,1,-1,-1
183,2018-01-19,18.45,999000,1.9659936238044688,1,-0.012312633832976427,-1,18.68,0.7494646680942215,1,-1,1,1
184,2018-01-22,18.35,1287000,0.8108108108108031,1,-0.005420054200541924,-1,18.45,0.27100271002710413,1,-1,1,1
185,2018-01-23,18.55,1281200,-1.923076923076931,-1,0.01089918256130784,1,18.35,-0.8174386920981042,-1,1,-1,-1
186,2018-01-24,18.59,1084800,-0.21563342318058837,-1,0.0021563342318058343,1,18.55,0.0,-1,1,-1,-1
187,2018-01-25,18.52,820700,1.6985138004246298,1,-0.0037654653039268515,-1,18.59,1.3448090371167294,1,-1,1,1
188,2018-01-26,18.74,748400,-0.9154550350026827,-1,0.011879049676025932,1,18.52,0.26997840172786564,1,1,-1,1
189,2018-01-29,18.53,1117600,0.8560727661851264,1,-0.0112059765208109,-1,18.74,-0.26680896478120153,-1,-1,1,-1
190,2018-01-30,18.45,1661500,-0.10851871947910782,-1,-0.00431732325957912,-1,18.53,-0.5396654074473902,-1,-1,-1,-1
191,2018-01-31,18.72,758600,-0.9164420485175103,-1,0.014634146341463428,1,18.45,0.5420054200542083,1,1,-1,1
192,2018-02-01,18.77,767900,-0.4817987152034253,-1,0.0026709401709401615,1,18.72,-0.21367521367520914,-1,1,-1,-1
