,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target,apple_close,apple_vol,apple_intra_perc_change,apple_intra_returns,apple_pct_change,apple_pct_returns,apple_opening_change,apple_target,apple_intra_target,apple_open_target,nflx_close,nflx_vol,nflx_intra_perc_change,nflx_intra_returns,nflx_pct_change,nflx_pct_returns,nflx_previous_close,nflx_opening_change,nflx_opening_returns,nflx_target,nflx_intra_target,nflx_open_target,google_close,google_vol,google_intra_perc_change,google_intra_returns,google_pct_change,google_pct_returns,google_previous_close,google_opening_change,google_opening_returns,google_target,google_intra_target,google_open_target,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target
449,2014-03-06,70.84,46026500,1.4468558708959267,1,-0.010199804387312938,-1,71.57,0.43314237809138234,1,-1,1,1,372.16,2926600,0.5052800427750265,1,-0.0005639552058436248,-1,372.37,0.45116416467492193,1,-1,1,1,75.82,46363282,0.3810274602549024,1,0.0005278437582474371,1,0.07889546351085111,1,1,1,64.36,11809000,0.9693799046007009,1,-0.006636826670782581,-1,64.79,0.3086896125945186,1,-1,1,1,607.53,2545600,0.21844102092435716,1,0.0011040437662721558,1,606.86,0.32956530336486173,1,1,1,1,252.940002,7361100,0.47217950921610913,1,0.0011082007265383886,1,252.66000400000001,0.5857654462793416,1,1,1,1
450,2014-03-07,69.8,38927000,1.8007878446820498,1,-0.014680971202710391,-1,70.84,0.33879164313946203,1,-1,1,1,372.06,2279800,0.6727534839019653,1,-0.0002687016337059589,-1,372.16,0.6502579535683467,1,-1,1,1,75.78,55164427,0.11862396204033665,1,-0.0009228740936056967,-1,0.06594566077553597,-1,1,1,64.05,11573800,1.2640665947279286,1,-0.0048166563082659986,-1,64.36,0.7924176507147376,1,-1,1,1,605.13,3041500,0.9785472337222462,1,-0.003950422201372761,-1,607.53,0.5892713117047785,1,-1,1,1,246.210007,7812300,2.6607080520225512,1,-0.026607080520225534,-1,252.940002,0.0,-1,-1,1,-1
451,2014-03-10,72.03,59871600,-1.7804154302670696,-1,0.03194842406876797,1,69.8,1.38968481375358,1,1,-1,1,370.53,2105800,0.5795701521371716,1,-0.004112239961296615,-1,372.06,0.16932752781809263,1,-1,1,1,75.85,44638950,-0.4901960784313597,-1,-0.009532515016975718,-1,-0.39588281868566527,-1,-1,-1,62.85,15439200,1.9041673169970217,1,-0.01873536299765799,-1,64.05,0.031225604996090586,1,-1,1,1,603.52,2438200,0.34016975461541976,1,-0.0026605853287723358,-1,605.13,0.07436418620792978,1,-1,1,1,238.83999599999999,7728100,1.5904413051970656,1,-0.02993384017896561,-1,246.210007,-1.425616303239846,-1,-1,1,-1
452,2014-03-11,70.1,59408300,3.3103448275862144,1,-0.026794391225878234,-1,72.03,0.6525059003193099,1,-1,1,1,368.82,2246100,0.5849214264535475,1,-0.004615010930289043,-1,370.53,0.12414649286158648,1,-1,1,1,76.58,69791288,-0.11766243953458416,-1,-0.0010435690060004443,-1,0.8437705998681617,-1,-1,1,62.5,10448200,1.1545152617428387,1,-0.005568814638027053,-1,62.85,0.6046141607000722,1,-1,1,1,597.75,3438800,1.1362508683139831,1,-0.009560577942735904,-1,603.52,0.18226405090138234,1,-1,1,1,234.41000400000001,8810100,0.8837192389006279,1,-0.018547948727984265,-1,238.83999599999999,-0.9797337293541009,-1,-1,1,-1
453,2014-03-12,70.88,46340500,-1.4600629831090697,-1,0.011126961483594933,1,70.1,-0.3423680456490655,-1,1,-1,-1,370.64,2216600,-1.157205240174675,-1,0.00493465647199165,1,368.82,-0.6561466297923149,-1,1,-1,-1,76.66,49819071,-0.39287585123100727,-1,0.011212241129138656,1,-0.28728127448419805,1,-1,-1,62.37,12134500,-0.6779661016949065,-1,-0.002080000000000082,-1,62.5,-0.8799999999999953,-1,-1,-1,-1,601.4,3943200,-0.9111196872325703,-1,0.006106231702216691,1,597.75,-0.2977833542450812,-1,1,-1,-1,241.49000499999997,9754400,-4.315336933045343,-1,0.03020349336285122,1,234.41000400000001,-1.241416300645605,-1,1,0,-1
454,2014-03-13,68.83,57091000,3.4506943470332554,1,-0.0289221218961625,-1,70.88,0.5784424379232658,1,-1,1,1,371.51,6829000,1.3568052679093021,1,0.002347291172026811,1,370.64,1.613425426289666,1,1,1,1,75.81,64314038,1.2633498306850728,1,0.011339381003201865,1,0.15653535090008422,1,1,1,61.44,11390400,2.1967526265520574,1,-0.014911014911014875,-1,62.37,0.7215007215007261,1,-1,1,1,592.31,4708600,1.5638502958186669,1,-0.01511473229132032,-1,601.4,0.05320917858331394,1,-1,1,1,237.789993,6236300,2.461134653709925,1,-0.015321594779874825,-1,241.49000499999997,0.9524154012088584,1,-1,1,1
455,2014-03-14,67.72,48227000,1.124251715578911,1,-0.01612668894377456,-1,68.83,-0.493970652331837,-1,-1,1,-1,373.74,4402200,-0.2521459227467805,-1,0.0060025302145299,1,371.51,0.3472315684638423,1,1,-1,1,74.96,59166181,0.7678051363516183,1,-0.003853820598006763,-1,-0.35615354174910435,-1,1,-1,60.64,14989100,0.7528641571194776,1,-0.01302083333333326,-1,61.44,-0.5533854166666607,-1,-1,1,-1,584.21,4604900,0.77786647191697,1,-0.013675271395046318,-1,592.31,-0.5942833988958454,-1,-1,1,-1,230.97000099999997,8289700,1.8360287851256138,1,-0.02868073594669751,-1,237.789993,-1.0513478588646916,-1,-1,1,-1
456,2014-03-17,68.74,52197000,-0.8213552361396127,-1,0.015062020082693417,1,67.72,0.6792675723567749,1,1,-1,1,375.04,2303000,0.18098584051953762,1,0.003478353935891354,1,373.74,0.5297800610049815,1,1,1,1,75.25,49725201,0.18570102135561822,1,-0.008694506652614842,-1,0.573639274279625,-1,1,1,60.39,10695300,1.2751348700343323,1,-0.004122691292876013,-1,60.64,0.8740105540897116,1,-1,1,1,593.82,4340300,-1.0895100609444848,-1,0.01644956436897682,1,584.21,0.5494599544684142,1,1,-1,1,233.979996,5912600,0.41285422957465484,1,0.013031973792994922,1,230.97000099999997,1.7231657716449755,1,1,1,1
457,2014-03-18,69.19,40827000,-0.6253635834787559,-1,0.006546406750072675,1,68.74,0.02909514111144928,1,1,-1,1,378.77,2483500,-0.3842891974981418,-1,0.00994560580204773,1,375.04,0.6079351535836104,1,1,-1,1,75.91,52279152,-1.0382004525489168,-1,0.0002635393332455216,1,-0.15946843853821202,1,-1,-1,60.04,14688100,0.49718263175340444,1,-0.005795661533366525,-1,60.39,-0.08279516476237317,-1,-1,1,-1,603.37,3643500,-1.3896824063182627,-1,0.01608231450607911,1,593.82,0.21555353474116273,1,1,-1,1,240.039993,6242300,-1.3040709175446772,-1,0.025899637163854017,1,233.979996,1.269339708852728,1,1,0,1
458,2014-03-19,68.24,43981000,1.344513517420857,1,-0.013730307847954926,-1,69.19,-0.028905911258846687,-1,-1,1,-1,373.23,2646700,1.4626290360904939,1,-0.014626290360904903,-1,378.77,0.0,-1,-1,1,-1,75.89,56077605,0.19726459758022838,1,0.004766318019330029,1,0.17125543406667063,1,1,1,60.01,10531500,-0.05001667222407659,-1,-0.0004996668887408129,-1,60.04,-0.09993337774817168,-1,-1,-1,-1,597.39,3237800,1.0353853290040422,1,-0.009910999883985028,-1,603.37,0.04474866168354108,1,-1,1,1,235.83999599999999,5071300,2.2991851456116175,1,-0.0174970718316928,-1,240.039993,0.5624087816066581,1,-1,1,1
