,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target,apple_close,apple_vol,apple_intra_perc_change,apple_intra_returns,apple_pct_change,apple_pct_returns,apple_opening_change,apple_target,apple_intra_target,apple_open_target,nflx_close,nflx_vol,nflx_intra_perc_change,nflx_intra_returns,nflx_pct_change,nflx_pct_returns,nflx_previous_close,nflx_opening_change,nflx_opening_returns,nflx_target,nflx_intra_target,nflx_open_target,google_close,google_vol,google_intra_perc_change,google_intra_returns,google_pct_change,google_pct_returns,google_previous_close,google_opening_change,google_opening_returns,google_target,google_intra_target,google_open_target,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target,dji_open,dji_high,dji_low,dji_close,dji_vol,dji_perc_change,dji_return,dji_previous_day_return,dji_previous_perc_change,cac_open,cac_high,cac_low,cac_close,cac_vol,cac_perc_change,cac_return,dax_open,dax_high,dax_low,dax_close,dax_vol,dax_perc_change,dax_return,google_compound,google_sentiment,amazon_compound,amazon_sentiment,fb_compound,fb_neg,fb_neu,fb_pos,fb_sentiment,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
100,2016-11-07,122.15,23008900,0.5536106814296121,1,0.011594202898550732,1,120.75,1.7225672877846776,1,1,1,1,784.93,5984400,-1.7223057384272413,-1,0.03957353817627962,1,755.05,2.197205483080595,1,1,-1,1,110.41,32361930,-0.2997819767441845,-1,-0.005852692238429769,-1,1.1392870268283672,-1,-1,1,124.58,5827100,-0.25752454530821917,-1,0.020896500860444034,1,122.03,1.827419487011394,1,1,-1,1,782.52,1585100,-1.0355067785668148,-1,0.02690218104511688,1,762.02,1.6377522899661452,1,1,-1,1,193.21000700000002,3870100,0.19628545268422157,1,0.013906428567447948,1,190.559998,1.5900493449837134,1,1,1,1,17994.640625,18263.300781,17994.640625,18259.599609,93450000,1.472432762185273,1,-1.0,-0.22350251347109276,4440.109863000001,4464.22998,4430.129883,4461.209961,89701700,0.4752156737343095,1,10410.55957,10456.9502,10381.13965,10456.9502,84888900,0.4456113015642624,1,0.4588,1,0.4019,1,0.5719,0.113,2.542,0.345,1,0.7365000000000002,1,0.8266,1
101,2016-11-15,117.2,34681400,-0.40263856763471156,-1,0.018421967327076905,1,115.08,1.4337851929092855,1,1,-1,1,743.24,6755800,-1.8136986301369875,-1,0.03361286105664263,1,719.07,1.520018913318585,1,1,-1,1,107.11,32230590,-0.506709205217234,-1,-0.026184198563505734,-1,0.8135464951281803,-1,-1,1,113.59,7445100,0.8380619816673887,1,0.0018521785147294079,1,113.38,1.0319280296348579,1,1,1,1,758.49,2384000,-1.542230611671149,-1,0.030445060319530537,1,736.08,1.4794587544832065,1,1,-1,1,183.770004,3902000,-0.5416374906534475,-1,0.012785930219662678,1,181.449997,0.732985407544541,1,1,0,1,18858.210938,18925.259766,18806.060547,18923.060547,100660000,0.34387996408146226,1,-1.0,-0.04280434735791703,4524.97998,4541.459961,4504.350098,4536.529785,112077800,0.25524543867704913,1,10720.92969,10748.30957,10666.16992,10735.13965,107326300,0.13254410215237888,1,2.7575000000000003,1,3.8534000000000006,1,2.6835,0.22,4.0,1.78,1,1.1288,1,0.6696,1
102,2016-11-16,116.34,32397900,-1.624737945492662,-1,-0.0073378839590443334,-1,117.2,-2.3208191126279853,-1,-1,-1,-1,746.49,3648800,-0.8933881169919465,-1,0.004372746353802359,1,743.24,-0.45207469996232896,-1,1,-1,-1,109.99,58724080,-3.0834114339268903,-1,0.0003638017280580552,1,-0.3827840537764883,1,-1,-1,115.19,5933700,-1.9741501416430631,-1,0.01408574698476972,1,113.59,-0.5546262875253188,-1,1,-1,-1,764.48,1472600,-1.2288135593220302,-1,0.007897269575076749,1,758.49,-0.43375654260438024,-1,1,-1,-1,183.929993,3434400,-0.7007933435793071,-1,0.0008705936579289641,1,183.770004,-0.6094629023352515,-1,1,0,-1,18909.849609,18909.849609,18825.890625,18868.140625,87320000,-0.22056750774025038,-1,1.0,0.34387996408146226,4545.890136999999,4548.830078,4479.939941,4501.140136999999,102195100,-0.9844056642673765,-1,10726.33984,10735.469729999999,10610.26953,10663.87012,98808300,-0.5823954949389424,-1,-0.3308,-1,2.1227,1,-0.25060000000000004,0.532,3.978,0.49,-1,-0.4939,-1,2.9922,1
103,2016-11-18,117.02,22879300,1.1571923304333174,1,-0.006537057475167751,-1,117.79,0.5093811019611124,1,-1,1,1,760.16,4373400,0.11038107752957055,1,0.004970914859862452,1,756.4,0.6081438392385011,1,1,1,1,110.06,28310840,-0.3098796937659528,-1,-0.014946746621319229,-1,-0.2091859936334734,-1,-1,-1,115.21,6746800,0.4493216970534954,1,0.0015648091802138442,1,115.03,0.6085369034165025,1,1,1,1,760.54,1547100,1.403995488546358,1,-0.013860975325130087,-1,771.23,0.01815282081869045,1,-1,1,1,185.020004,5210300,2.953050184727513,1,-0.01929396757566071,-1,188.66000400000001,1.054802267469462,1,-1,1,1,18905.330078,18915.740234,18853.830078,18867.929688,109880000,-0.1978298704423122,-1,1.0,0.19929592996875228,4547.049805,4551.629883,4496.740234000001,4504.350098,106645000,-0.9390639828278671,-1,10735.049809999999,10737.98047,10649.12012,10664.55957,106647500,-0.6566363570510455,-1,0.6794,1,1.0297999999999998,1,0.29600000000000004,0.0,1.732,0.268,1,0.1975,1,0.0,-1
104,2016-11-23,120.84,15672100,0.32170254887404154,1,-0.005186465794023154,-1,121.47,-0.1975796492961183,-1,-1,1,-1,780.12,3540300,0.20595346219283048,1,-0.0066341537952199214,-1,785.33,-0.4584060203990708,-1,-1,1,-1,111.23,27420550,0.11673850574712234,1,-0.0050093926111459686,-1,-0.39355992844364734,-1,1,-1,117.69,4521300,0.05944293478261497,1,-0.002965096577431492,-1,118.04,-0.2372077261945113,-1,-1,1,-1,760.99,1478400,0.877912807888191,1,-0.009475835318312531,-1,768.27,-0.07028778944901709,-1,-1,1,-1,193.139999,4891900,-1.327316503188087,-1,0.010304969506773842,1,191.169998,-0.29293142535890043,-1,1,0,-1,19015.519531,19083.759766,19000.380859,19083.179688,77880000,0.355815453212812,1,1.0,0.2819051913961272,4557.930176,4559.209961,4509.02002,4529.209961,102199800,-0.6301152911737866,-1,10718.88965,10742.66016,10602.20996,10662.44043,95534900,-0.5266330920758999,-1,0.2809,1,-1.4247999999999998,-1,-5.7865,2.682,12.159,0.159,-1,0.9997,1,0.4019,1
105,2016-12-01,115.1,43277000,2.7707383003885804,1,-0.02803580476270906,-1,118.42,-0.03377807802736552,-1,-1,1,-1,743.65,4666000,1.1642588482343392,1,-0.009219659725275609,-1,750.57,0.24514702159690877,1,-1,1,1,109.49,37034520,0.797318111805753,1,-0.0037306642402185064,-1,-0.13572204125949283,-1,1,-1,117.22,8636900,0.25527569775357145,1,0.001880341880341918,1,117.0,0.4444444444444411,1,1,1,1,747.92,3017900,1.256865230249273,1,-0.013350218985805462,-1,758.04,-0.07915149596326171,-1,-1,1,-1,181.880005,5126400,3.3837954847277496,1,-0.039704272641106764,-1,189.399994,-0.6071774215578868,-1,-1,1,-1,19149.199219,19214.300781,19138.789063,19191.929688,108800000,0.22314493943749025,1,-1.0,-0.06302661738036769,4571.200195,4582.830078,4541.02002,4560.609863000001,111644600,-0.23167508637192297,-1,10593.05957,10627.09961,10502.54004,10534.049809999999,93397600,-0.5570605886812815,-1,-0.7724,-1,1.1173,1,0.3707,0.64,4.678,0.6819999999999999,1,-1.3763999999999998,-1,0.0,-1
106,2016-12-07,117.95,21913700,-0.8119658119658144,-1,0.005455630381041798,1,117.31,-0.2642570965817085,-1,1,-1,-1,770.42,3684900,-0.767771891962593,-1,0.007453708546919069,1,764.72,-0.0222303588241543,-1,1,-1,-1,111.03,29976030,-1.6199890170236098,-1,-0.00972172672136995,-1,-0.6275579809004072,-1,-1,-1,125.39,8204700,-0.7310411311053957,-1,0.006582644296379669,1,124.57,-0.07224853496025464,-1,1,-1,-1,771.19,1761000,-1.3390275952693895,-1,0.0159133722385425,1,759.11,0.24897577426196285,1,1,-1,1,193.149994,5461900,-3.760408394103951,-1,0.0392789225952459,1,185.850006,0.16141403837241997,1,1,0,1,19241.990234,19558.419922,19229.830078,19549.619141,385200000,1.59873746561012,1,1.0,0.16581316323193335,4676.609863000001,4694.720215,4658.72998,4694.720215,141483500,0.38725385547517266,1,10885.049809999999,10988.79004,10873.80957,10986.69043,148433100,0.9337634808673599,1,-0.1856,-1,0.6739999999999999,1,-2.7528,1.194,5.806,0.0,-1,0.07700000000000001,1,0.7499,1
107,2016-12-08,118.91,22442800,-0.788269198169175,-1,0.008139041966935157,1,117.95,0.02543450614667328,1,1,-1,1,767.33,3189600,0.5881819477373086,1,-0.004010799304275503,-1,770.42,0.1882090288414171,1,-1,1,1,112.12,27049830,-1.1365686451380166,-1,-0.016059675296182574,-1,-0.1531117715932646,-1,-1,-1,123.24,8987700,1.7224880382775205,1,-0.017146502910918016,-1,125.39,0.007975117632989167,1,-1,1,1,776.42,1488100,-0.5100455675227761,-1,0.0067817269414798265,1,771.19,0.1672739532410902,1,1,-1,1,192.28999299999998,3194100,-0.12496224746217655,-1,-0.004452503374139383,-1,193.149994,-0.5695009237225183,-1,-1,0,-1,19559.939453,19664.970703,19527.830078,19614.810547,324570000,0.28052793379984653,1,1.0,1.59873746561012,4709.890136999999,4748.509765999999,4688.580078,4735.47998,149634900,0.5433214418096873,1,11035.75977,11193.09961,10990.59961,11179.41992,174835000,1.301769456694142,1,1.6826,1,1.7864,1,-0.2023,0.33,1.426,0.245,-1,0.3818,1,0.2732,1
108,2016-12-21,119.04,10767600,-0.10090817356206234,-1,-0.0004198505332101421,-1,119.09,-0.14274918129146166,-1,-1,-1,-1,770.6,2044600,-0.07792207792208088,-1,-0.0008039210601384905,-1,771.22,-0.1581909182853177,-1,-1,-1,-1,117.06,23724430,-0.22260273972603178,-1,0.006621377590506405,1,-0.12825994014536612,1,-1,-1,126.5,6514800,-0.7727236517167202,-1,0.011029411764705843,1,125.12,0.32768542199488215,1,1,-1,1,794.56,1211300,0.16083634901488822,1,-0.002335451143868794,-1,796.42,-0.07282589588407214,-1,-1,1,-1,207.699997,5207600,0.3597985180110125,1,-0.005220537557084848,-1,208.78999299999998,-0.16284113769762187,-1,-1,1,-1,19968.970703,19986.560547,19941.960938,19941.960938,256640000,-0.13525867407848477,-1,1.0,0.2712233795440267,4831.560059,4851.52002,4821.240234000001,4833.819824,66626600,0.04677091813834344,1,11445.23047,11479.87988,11440.29004,11468.63965,62382000,0.2045321853619147,1,-0.29600000000000004,-1,0.6588999999999999,1,-1.8352,0.804,4.196000000000001,0.0,-1,0.8126,1,0.0,-1
109,2016-12-22,117.4,16258600,1.2283358573111172,1,-0.013776881720430123,-1,119.04,-0.15120967741936056,-1,-1,1,-1,766.34,2543600,0.23173462479820509,1,-0.0055281598754217676,-1,770.6,-0.32182714767713705,-1,-1,1,-1,116.29,26043820,0.051568543188644664,1,-0.0019739100583590075,-1,-0.6065265675721919,-1,1,-1,125.58,4160700,0.9933774834437127,1,-0.0072727272727273196,-1,126.5,0.2687747035573149,1,-1,1,1,791.26,972200,0.13882578625877415,1,-0.004153242045912164,-1,794.56,-0.276882803060805,-1,-1,1,-1,208.449997,3111100,-0.11045816871358091,-1,0.003610977423365025,1,207.699997,0.2503630272079398,1,1,0,1,19922.679688,19933.830078,19882.189453,19918.880859,258290000,-0.01906786165059678,-1,-1.0,-0.13525867407848477,4825.149902,4841.649902,4818.810059,4834.629883,65716200,0.19647018626447427,1,11444.41016,11475.75977,11428.76953,11456.09961,49975200,0.10214113122977979,1,0.5615,1,1.0965,1,-0.4588,0.214,1.786,0.0,-1,0.6444,1,1.1212,1
110,2016-12-30,115.05,18684100,1.3293310463121761,1,-0.011173184357541888,-1,116.35,0.21486892995272885,1,-1,1,1,749.87,4139400,2.165772959150394,1,-0.019969940534535713,-1,765.15,0.1725151930993988,1,-1,1,1,115.82,30555900,0.7115302186026682,1,-0.002841153680585573,-1,-0.06853422427824749,-1,1,-1,123.8,4455400,1.9328263624841555,1,-0.012207771483284113,-1,125.33,0.7260831405090534,1,-1,1,1,771.82,1770000,1.3963589907377771,1,-0.01401397565119622,-1,782.79,-0.00510992731127935,-1,-1,1,-1,213.690002,4642600,1.2066578658346034,1,-0.00461147304024756,-1,214.67999300000002,0.7546161975140137,1,-1,1,1,19833.169922,19852.550781,19718.669922,19762.599609,271910000,-0.3558196358803937,-1,-1.0,-0.07905861653034209,4837.680176,4864.290039,4825.140136999999,4862.310059,53055000,0.5091259054740893,1,11443.30957,11481.66016,11405.76953,11481.05957,41810900,0.3298870817841556,1,0.0,-1,0.1779,1,-0.4588,0.2,0.8,0.0,-1,-0.9051,-1,0.0,-1
111,2017-01-05,120.67,19492200,-1.5227999326939274,-1,0.016682113067655324,1,118.69,0.14323026371219286,1,1,-1,1,780.45,5830100,-2.481780579082147,-1,0.030732454634301076,1,757.18,0.5771414987189314,1,1,-1,1,116.61,22115100,-0.5952380952380933,-1,-0.011025358324145529,-1,-0.08619203585588202,-1,-1,-1,131.81,10185500,-2.0043336944745422,-1,0.01854570744146522,1,129.41,-0.14682018391159704,-1,1,-1,-1,794.02,1335200,-1.0100753104009694,-1,0.009048163680264398,1,786.9,-0.10420637946371031,-1,1,-1,-1,226.75,5911700,-0.1457477267533619,-1,-0.0010573373043450962,-1,226.99000499999997,-0.2511154621103143,-1,-1,0,-1,19924.560547,19948.599609,19811.119141,19899.289063,269920000,-0.12683584132451975,-1,1.0,0.2575077115941724,4881.720215,4905.839844,4874.790039,4900.640136999999,88092000,0.3875667012186427,1,11537.73047,11602.54004,11537.40039,11584.94043,74924900,0.409178911942464,1,0.3308,1,0.7507999999999999,1,-0.4588,0.214,0.7859999999999999,0.0,-1,0.2997000000000001,1,0.1531,1
112,2017-01-10,124.35,17324600,0.3765422207979482,1,-0.004403522818254735,-1,124.9,-0.06405124099280425,-1,-1,1,-1,795.9,2558400,0.08787346221441696,1,-0.0012799277217285798,-1,796.92,-0.040154595191479237,-1,-1,1,-1,119.11,24432660,-0.28626757598720504,-1,-0.00534446764091856,-1,-0.1848894865114706,-1,-1,-1,129.89,5985800,1.0512683781519188,1,-0.008094692630775113,-1,130.95,0.2443680794196423,1,-1,1,1,804.79,1176800,0.38001633946476493,1,-0.002305832765139848,-1,806.65,0.15000309923759206,1,-1,1,1,229.86999500000002,3660000,0.9181056034482684,1,-0.006096523720583447,-1,231.27999900000003,0.311311398786355,1,-1,1,1,19876.349609,19957.119141,19836.029297,19855.529297,299410000,-0.10474917381495646,-1,-1.0,-0.22090407379804336,4894.450195,4906.149902,4868.5,4888.22998,92809300,-0.12708710380493063,-1,11583.24023,11606.9502,11544.99023,11583.299809999999,86076700,0.0005143638465243748,1,-0.4115,-1,2.0072,1,0.6945,0.326,4.975,0.6990000000000001,1,-0.2263,-1,0.34,1
