,date,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target
2080,2018-10-02,301.019989,11743500,4.118497374034184,1,-0.031155528246326614,-1,310.700012,1.0460250642024436,1,-1,1,1
2081,2018-10-03,294.799988,7995000,2.812118605339218,1,-0.02066308294230923,-1,301.019989,0.7673902346730892,1,-1,1,1
2082,2018-10-04,281.829987,9814200,4.123158532138451,1,-0.04399593462670004,-1,294.799988,-0.2883229425368802,-1,-1,1,-1
2083,2018-10-05,261.950012,17944500,4.624060541577866,1,-0.07053889194551888,-1,281.829987,-2.5476327329213637,-1,-1,1,-1
2084,2018-10-08,250.559998,13472700,5.277480561213845,1,-0.04348163190769394,-1,261.950012,0.9810944387358892,1,-1,1,1
2085,2018-10-09,262.799988,12060600,-2.957879725759054,-1,0.04885053519197413,1,250.559998,1.8718079651325639,1,1,0,1
2086,2018-10-10,256.880005,12815300,2.9212729821968026,1,-0.022526572565901293,-1,262.799988,0.688735571783972,1,-1,1,1
2087,2018-10-11,252.229996,8167700,2.058013831623566,1,-0.018101872117294526,-1,256.880005,0.25303409660088155,1,-1,1,1
2088,2018-10-12,258.77999900000003,7201400,0.8505750957854283,1,0.025968374514821813,1,252.229996,3.476986932196598,1,1,1,1
2089,2018-10-15,259.589996,6200000,-0.2045850397945181,-1,0.003130060294961101,1,258.77999900000003,0.1081996294466232,1,1,0,1
2090,2018-10-16,276.589996,9526400,-4.098601245076334,-1,0.06548788575041997,1,259.589996,2.3537178220072974,1,1,0,1
2091,2018-10-17,271.77999900000003,8655500,3.7606215388233903,1,-0.017390350589541748,-1,276.589996,2.1005813962989492,1,-1,1,1
2092,2018-10-18,263.910004,5421200,1.9978479780881817,1,-0.028957226539691128,-1,271.77999900000003,-0.9161785301206194,-1,-1,1,-1
2093,2018-10-19,260.0,9375500,2.763758773864464,1,-0.014815671784840778,-1,263.910004,1.318635499698598,1,-1,1,1
2094,2018-10-22,260.950012,5600300,-0.1035825561035636,-1,0.003653892307692308,1,260.0,0.26153576923077865,1,1,0,1
2095,2018-10-23,294.140015,19027800,-11.47156576101045,-1,0.12718912233657997,1,260.950012,1.1189817458218787,1,1,0,1
2096,2018-10-24,288.5,20058300,4.16873891388429,1,-0.01917459275304656,-1,294.140015,2.3492121600660076,1,-1,1,1
2097,2018-10-25,314.859985,20840700,0.7439682216002431,1,0.0913690987868283,1,288.5,9.954939688041584,1,1,1,1
2098,2018-10-26,330.899994,27425500,-7.347929927007296,-1,0.05094330738788533,1,314.859985,-2.0993410769552043,-1,1,0,-1
2099,2018-10-29,334.850006,14486000,0.7763638226320332,1,0.011937177611432759,1,330.899994,1.9854962584254308,1,1,1,1
2100,2018-10-30,329.899994,9126700,-0.45981270167425375,-1,-0.014782774111701813,-1,334.850006,-1.929219317379974,-1,-1,0,-1
2101,2018-10-31,337.320007,7624300,-1.4374204217935105,-1,0.02249170395559319,1,329.899994,0.800247059113316,1,1,0,1
2102,2018-11-01,344.27999900000003,8000100,-1.7796927872141932,-1,0.020633202465218936,1,337.320007,0.2786680245740796,1,1,0,1
2103,2018-11-02,346.410004,7808000,-0.7767539645300036,-1,0.006186839218620843,1,344.27999900000003,-0.1568516909400986,-1,1,0,-1
2104,2018-11-05,341.399994,7831000,-0.2643154185022004,-1,-0.014462659686929946,-1,346.410004,-1.7060719759121088,-1,-1,0,-1
2105,2018-11-06,341.059998,6762900,-0.5868967938529673,-1,-0.0009958875394707745,-1,341.399994,-0.6824800940096142,-1,-1,0,-1
2106,2018-11-07,348.160004,7374500,-1.4038585822084153,-1,0.020817469189101434,1,341.059998,0.6685034930422938,1,1,0,1
2107,2018-11-08,351.399994,7090700,-0.8321360114777597,-1,0.009306037347127205,1,348.160004,0.09765509998098032,1,1,0,1
2108,2018-11-09,350.51001,5098800,-0.4326676217765108,-1,-0.0025326807489927106,-1,351.399994,-0.6829806604948299,-1,-1,0,-1
2109,2018-11-12,331.27999900000003,6941500,4.905702628034881,1,-0.054862943857152624,-1,350.51001,-0.6105431910489533,-1,-1,1,-1
2110,2018-11-13,338.730011,5448600,-1.6718714530931438,-1,0.022488565631757274,1,331.27999900000003,0.5674972849779508,1,1,0,1
2111,2018-11-14,344.0,5040300,-0.37933701618895327,-1,0.015558081152720726,1,338.730011,1.1720251737600025,1,1,0,1
2112,2018-11-15,348.440002,4625700,-1.784831955139231,-1,0.012906982558139601,1,344.0,-0.4854688953488323,-1,1,0,-1
2113,2018-11-16,354.309998,7206200,-2.6420220594917505,-1,0.01684650432300261,1,348.440002,-0.9327287284311289,-1,1,0,-1
2114,2018-11-19,353.47000099999997,9708900,0.8054091688321222,1,-0.0023707967732822244,-1,354.309998,0.5729440352964519,1,-1,1,1
2115,2018-11-20,347.48999,8004700,-1.6795874177029928,-1,-0.01691801562532036,-1,353.47000099999997,-3.3156989183927856,-1,-1,0,-1
2116,2018-11-21,338.190002,4686800,3.9232948863636383,1,-0.026763326333515303,-1,347.48999,1.2978819907877126,1,-1,1,1
2117,2018-11-23,325.829987,4202600,2.548233541829214,1,-0.03654754702062413,-1,338.190002,-1.135455210766398,-1,-1,1,-1
2118,2018-11-26,346.0,7992100,-6.461538461538462,-1,0.06190348895051212,1,325.829987,-0.2547300841282042,-1,1,0,-1
2119,2018-11-27,343.920013,6358300,-1.1380753232080687,-1,-0.006011523121387308,-1,346.0,-1.7196566473988484,-1,-1,0,-1
2120,2018-11-28,347.869995,4127600,-0.5433697662756196,-1,0.011485176351165194,1,343.920013,0.60187744875434,1,1,0,1
2121,2018-11-29,341.170013,3080700,1.6801115273775264,1,-0.019260016949722902,-1,347.869995,-0.2500919919810897,-1,-1,1,-1
2122,2018-11-30,350.480011,5629100,-2.530504733044375,-1,0.02728844167204114,1,341.170013,0.19344431657304942,1,1,0,1
2123,2018-12-03,358.48999,8306500,0.4194472222222285,1,0.022854310513018117,1,350.480011,2.7162715992952906,1,1,1,1
2124,2018-12-04,359.700012,8461900,-1.0251436941489322,-1,0.003375329949938166,1,358.48999,-0.6806332305122363,-1,1,0,-1
2125,2018-12-06,363.059998,7842500,-1.9802780264521171,-1,0.009341078365046052,1,359.700012,-1.025855400861091,-1,1,0,-1
2126,2018-12-07,357.97000099999997,11511200,2.9891596205962148,1,-0.014019713072328188,-1,363.059998,1.6360937676201917,1,-1,1,1
2127,2018-12-10,365.149994,6613500,-1.430553888888887,-1,0.02005752711104991,1,357.97000099999997,0.5670863464338265,1,1,0,1
2128,2018-12-11,366.76001,6308800,0.8515568559751611,1,0.004409190815980235,1,365.149994,1.3035766337709491,1,1,1,1
2129,2018-12-12,366.600006,5027000,0.7633606466252751,1,-0.00043626348466951903,-1,366.76001,0.7252707294887358,1,-1,1,1
2130,2018-12-13,376.790009,7365900,-1.7938714325630938,-1,0.02779597063072603,1,366.600006,0.9683545940803898,1,1,0,1
2131,2018-12-14,365.709991,6337600,2.477335733333333,1,-0.02940634766141048,-1,376.790009,-0.47506806370760163,-1,-1,1,-1
2132,2018-12-17,348.420013,7674000,3.751377624309397,1,-0.047277838794401505,-1,365.709991,-1.014462577261118,-1,-1,1,-1
2133,2018-12-18,337.02999900000003,7100000,3.8540564994394026,1,-0.03269047005058212,-1,348.420013,0.6084598820102836,1,-1,1,1
2134,2018-12-19,332.97000099999997,8274200,1.3714469542989403,1,-0.012046399466060786,-1,337.02999900000003,0.16912648775813438,1,-1,1,1
2135,2018-12-20,315.380005,9071900,3.568256666623086,1,-0.05282756989270032,-1,332.97000099999997,-1.7779418512840692,-1,-1,1,-1
2136,2018-12-21,319.769989,8016800,-0.7466903102714039,-1,0.013919664945150956,1,315.380005,0.6404936799972495,1,1,0,1
2137,2018-12-24,295.390015,5559900,5.776709728867622,1,-0.07624222046678686,-1,319.769989,-1.9607809412033377,-1,-1,1,-1
2138,2018-12-26,326.089996,8163100,-8.696665333333328,-1,0.10393032750277631,1,295.390015,1.5606434767268604,1,1,0,1
2139,2018-12-27,316.130005,8575100,1.1599521780884472,1,-0.030543687700250732,-1,326.089996,-1.9166488014554117,-1,-1,1,-1
2140,2018-12-28,333.869995,9939000,-3.3333298669143354,-1,0.05611612222636064,1,316.130005,2.204789450466755,1,1,0,1
2141,2018-12-31,332.799988,6302300,1.4772553560043313,1,-0.0032048612215064276,-1,333.869995,1.1741138942419729,1,-1,1,1
2142,2019-01-02,310.119995,11658600,-1.3132926890566639,-1,-0.06814901988518096,-1,332.799988,-8.022831419092473,-1,-1,0,-1
2143,2019-01-03,300.359985,6965200,2.162871335504888,1,-0.0314717211316865,-1,310.119995,-1.0060605734241732,-1,-1,1,-1
2144,2019-01-04,317.690002,7394100,-3.8202620915032655,-1,0.05769748923113038,1,300.359985,1.8777517917375066,1,1,0,1
2145,2019-01-07,334.959991,7551200,-4.1153767123107885,-1,0.05436113472655024,1,317.690002,1.2685318941828,1,1,0,1
2146,2019-01-08,335.350006,7008500,1.9329702813098961,1,0.0011643629402890987,1,334.959991,2.089801823525843,1,1,1,1
2147,2019-01-09,338.52999900000003,5432900,-0.9031293591654342,-1,0.009482609044593415,1,335.350006,0.04472759723164949,1,1,0,1
2148,2019-01-10,344.97000099999997,6056400,-3.1608873174800283,-1,0.01902343077134483,1,338.52999900000003,-1.2199819845212712,-1,1,0,-1
