,date,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target,em_tweets3_compound,em_tweets3_sentiment,tsla_compound,tsla_sentiment
1242,2015-06-05,249.139999,3022000,-1.2764223577235845,-1,0.01309369317740483,1,245.919998,0.032531717896324745,1,1,-1,1,0.0,0.0,-0.128,-1.0
1243,2015-06-08,256.290009,5017000,-2.1686278133874115,-1,0.028698763862481824,1,249.139999,0.6863638945426784,1,1,-1,1,0.0,0.0,0.4767,1.0
1244,2015-06-09,256.0,2611100,-0.23492796166628244,-1,-0.0011315657646256974,-1,256.290009,-0.34726870683437583,-1,-1,-1,-1,0.0,0.0,0.0,-1.0
1245,2015-06-10,250.699997,3454500,0.4763783360788678,1,-0.020703136718749904,-1,256.0,-1.6015648437500032,-1,-1,1,-1,0.0,0.0,0.0,0.0
1246,2015-06-11,251.410004,2044100,0.7304710718327293,1,0.002832098159139651,1,250.699997,1.0211400201971312,1,1,1,1,0.0,0.0,0.0,0.0
1247,2015-06-12,250.690002,1422300,-0.19183685167316367,-1,-0.0028638558074245424,-1,251.410004,-0.4773067821119897,-1,-1,-1,-1,0.4926,1.0,0.3818,1.0
1248,2015-06-15,250.380005,2186200,-0.2723299992670637,-1,-0.0012365750429887967,-1,250.690002,-0.3949120396113636,-1,-1,-1,-1,1.2128,1.0,0.3818,1.0
1249,2015-06-16,253.119995,1984700,-1.1953743814141908,-1,0.010943325925726556,1,250.380005,-0.0998482286954184,-1,1,-1,-1,0.0,0.0,0.6369,1.0
1250,2015-06-17,260.410004,5512900,-3.2676393168706857,-1,0.028800605025296463,1,253.119995,-0.3753148778309768,-1,1,-1,-1,0.0,0.0,0.5574,1.0
1251,2015-06-18,261.890015,2782700,0.04197900763358575,1,0.00568338764742693,1,260.410004,0.6105740853181605,1,1,1,1,0.0,0.0,0.0,0.0
1252,2015-06-19,262.51001,2463000,-0.04192683022699691,-1,0.0023673869353133536,1,261.890015,0.194730219095977,1,1,-1,1,0.8398,1.0,0.0,0.0
1253,2015-06-22,259.790009,4561100,0.9002422483366506,1,-0.010361513452382344,-1,262.51001,-0.13714372263367408,-1,-1,1,-1,0.0,0.0,1.0582,1.0
1254,2015-06-23,267.670013,3870800,-2.8234502928543668,-1,0.030332205731591344,1,259.790009,0.2040101549863597,1,1,-1,1,0.4939,1.0,0.0,0.0
1255,2015-06-24,265.170013,2412300,0.677952627696913,1,-0.00933985832772388,-1,267.670013,-0.25778083703384164,-1,-1,1,-1,0.0,0.0,-0.0258,-1.0
1256,2015-06-25,268.790009,2849200,-0.8782123830416575,-1,0.013651603961719605,1,265.170013,0.48270880463396604,1,1,-1,1,0.0,0.0,0.7964,1.0
1257,2015-06-26,267.089996,3838400,0.6694257501529093,1,-0.006324688206695961,-1,268.790009,0.0372059960011414,1,-1,1,1,0.0,0.0,0.0,-1.0
1258,2015-06-29,262.019989,3478900,-0.02671387547025361,-1,-0.01898239198745566,-1,267.089996,-1.9244389819826762,-1,-1,-1,-1,0.0,-1.0,0.7351,1.0
1259,2015-06-30,268.26001,3086900,-1.30665489305084,-1,0.02381505710238008,1,262.019989,1.0609873737533724,1,1,-1,1,0.0,0.0,0.0,0.0
