,close,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment,lag_1_tsla_close,lag_1_tsla_sentiment,lag_1_em_tweets3_sentiment,lag_2_tsla_close,lag_2_tsla_sentiment,lag_2_em_tweets3_sentiment,lag_3_close,lag_3_tsla_sentiment,lag_3_em_tweets3_sentiment
2015-10-31,251.86,0.0,-1.0,0.6249,1.0,254.53,1.0,0.0,247.82,1.0,0.0,249.92,-1.0,1.0
2015-11-01,254.51,0.0,0.0,0.0,0.0,251.86,-1.0,1.0,254.53,1.0,0.0,247.82,1.0,0.0
2015-11-02,253.88,0.0,-1.0,0.4019,1.0,254.51,0.0,0.0,251.86,-1.0,1.0,254.53,1.0,0.0
2015-11-03,247.37,0.0,-1.0,0.0,0.0,253.88,-1.0,1.0,254.51,0.0,0.0,251.86,-1.0,1.0
2015-11-04,249.97,0.3561,1.0,1.0707,1.0,247.37,-1.0,0.0,253.88,-1.0,1.0,254.51,0.0,0.0
2015-11-05,248.29,0.0,-1.0,0.0,0.0,249.97,1.0,1.0,247.37,-1.0,0.0,253.88,-1.0,1.0
2015-11-06,253.75,0.0,-1.0,0.0,0.0,248.29,-1.0,0.0,249.97,1.0,1.0,247.37,-1.0,0.0
2015-11-07,251.82,0.0,-1.0,0.0,0.0,253.75,-1.0,0.0,248.29,-1.0,0.0,249.97,1.0,1.0
2015-11-08,253.74,0.2023,1.0,0.0,0.0,251.82,-1.0,0.0,253.75,-1.0,0.0,248.29,-1.0,0.0
2015-11-09,251.47,0.0,0.0,0.3771,1.0,253.74,1.0,0.0,251.82,-1.0,0.0,253.75,-1.0,0.0
2015-11-10,247.71,0.0,0.0,0.0,0.0,251.47,0.0,1.0,253.74,1.0,0.0,251.82,-1.0,0.0
2015-11-11,240.76,0.0,0.0,-0.37799999999999995,-1.0,247.71,0.0,0.0,251.47,0.0,1.0,253.74,1.0,0.0
2015-11-12,241.8,0.2732,1.0,0.9905,1.0,240.76,0.0,-1.0,247.71,0.0,0.0,251.47,0.0,1.0
2015-11-13,232.32,-0.1483,-1.0,0.0,0.0,241.8,1.0,1.0,240.76,0.0,-1.0,247.71,0.0,0.0
2015-11-14,222.56,-1.5743,-1.0,0.0,0.0,232.32,-1.0,0.0,241.8,1.0,1.0,240.76,0.0,-1.0
2015-11-15,211.53,1.9210000000000005,1.0,0.9738,1.0,222.56,-1.0,0.0,232.32,-1.0,0.0,241.8,1.0,1.0
2015-11-16,214.93,0.0,0.0,1.7643,1.0,211.53,1.0,1.0,222.56,-1.0,0.0,232.32,-1.0,0.0
2015-11-17,208.92,-0.2732,-1.0,0.0,0.0,214.93,0.0,1.0,211.53,1.0,1.0,222.56,-1.0,0.0
2015-11-18,208.69,0.0,0.0,0.0,-1.0,208.92,-1.0,0.0,214.93,0.0,1.0,211.53,1.0,1.0
2015-11-19,208.96,-0.2732,-1.0,0.0,0.0,208.69,0.0,-1.0,208.92,-1.0,0.0,214.93,0.0,1.0
2015-11-20,207.28,0.732,1.0,0.7859,1.0,208.96,-1.0,0.0,208.69,0.0,-1.0,208.92,-1.0,0.0
2015-11-21,207.61,0.0,-1.0,0.0,0.0,207.28,1.0,1.0,208.96,-1.0,0.0,208.69,0.0,-1.0
2015-11-22,208.29,-0.4588,-1.0,0.8286,1.0,207.61,-1.0,0.0,207.28,1.0,1.0,208.96,-1.0,0.0
2015-11-23,204.66,-0.9176,-1.0,0.4201,1.0,208.29,-1.0,1.0,207.61,-1.0,0.0,207.28,1.0,1.0
2015-11-24,211.17,0.4346,1.0,0.10390000000000003,1.0,204.66,-1.0,1.0,208.29,-1.0,1.0,207.61,-1.0,0.0
2015-11-25,215.21,0.8978999999999999,1.0,0.6249,1.0,211.17,1.0,1.0,204.66,-1.0,1.0,208.29,-1.0,1.0
2015-11-26,220.28,1.2003,1.0,0.0,0.0,215.21,1.0,1.0,211.17,1.0,1.0,204.66,-1.0,1.0
2015-11-27,216.22,0.4588,1.0,0.0,0.0,220.28,1.0,0.0,215.21,1.0,1.0,211.17,1.0,1.0
2015-11-28,217.91,0.3818,1.0,0.0,0.0,216.22,1.0,0.0,220.28,1.0,0.0,215.21,1.0,1.0
2015-11-29,219.58,-0.29600000000000004,-1.0,0.8313,1.0,217.91,1.0,0.0,216.22,1.0,0.0,220.28,1.0,0.0
2015-11-30,225.12,-0.01839999999999997,-1.0,0.4131,1.0,219.58,-1.0,1.0,217.91,1.0,0.0,216.22,1.0,0.0
2015-12-01,223.04,0.0,0.0,0.5174,1.0,225.12,-1.0,1.0,219.58,-1.0,1.0,217.91,1.0,0.0
2015-12-02,223.23,0.0,0.0,0.0,0.0,223.04,0.0,1.0,225.12,-1.0,1.0,219.58,-1.0,1.0
2015-12-03,219.56,0.2585,1.0,0.4404,1.0,223.23,0.0,0.0,223.04,0.0,1.0,225.12,-1.0,1.0
2015-12-04,218.96,-0.4019,-1.0,0.6124,1.0,219.56,1.0,1.0,223.23,0.0,0.0,223.04,0.0,1.0
2015-12-05,218.99,1.3594,1.0,1.6963,1.0,218.96,-1.0,1.0,219.56,1.0,1.0,223.23,0.0,0.0
2015-12-06,220.68,0.7547999999999999,1.0,0.0,-1.0,218.99,1.0,1.0,218.96,-1.0,1.0,219.56,1.0,1.0
2015-12-07,232.34,0.7293999999999999,1.0,0.0,-1.0,220.68,1.0,-1.0,218.99,1.0,1.0,218.96,-1.0,1.0
2015-12-08,235.52,0.4123000000000001,1.0,0.7631,1.0,232.34,1.0,-1.0,220.68,1.0,-1.0,218.99,1.0,1.0
2015-12-09,229.36,-0.2324,-1.0,-0.29600000000000004,-1.0,235.52,1.0,1.0,232.34,1.0,-1.0,220.68,1.0,-1.0
2015-12-10,218.79,0.6909,1.0,0.5938999999999999,1.0,229.36,-1.0,-1.0,235.52,1.0,1.0,232.34,1.0,-1.0
