,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target
1174,2017-01-19,127.55,12195500,0.5302971223582568,1,-0.0028924327704815678,-1,127.92,0.24233896185114767,1,-1,1,1
1175,2017-01-20,127.04,19097200,0.8274785323965559,1,-0.003998431987455864,-1,127.55,0.43120344962759477,1,-1,1,1
1176,2017-01-23,128.93,16593600,-1.2724844866860456,-1,0.014877204030226743,1,127.04,0.21253148614609257,1,1,-1,1
1177,2017-01-24,129.37,15162700,0.0077291698871470894,1,0.003412704568370506,1,128.93,0.34902660358333093,1,1,1,1
1178,2017-01-25,131.48,18731300,-1.1384615384615306,-1,0.016309809074746662,1,129.37,0.486975342042201,1,1,-1,1
1179,2017-01-26,132.78,20020100,-0.8736610195244289,-1,0.009887435351384255,1,131.48,0.11408579251597634,1,1,-1,1
1180,2017-01-27,132.18,19539500,0.3768465480856195,1,-0.004518752824220429,-1,132.78,-0.07531254707033763,-1,-1,1,-1
1181,2017-01-30,130.98,18956100,0.455996352029201,1,-0.00907852927825703,-1,132.18,-0.4539264639128418,-1,-1,1,-1
1182,2017-01-31,130.32,19790500,-0.11523392486748535,-1,-0.005038937242327068,-1,130.98,-0.618415025194688,-1,-1,-1,-1
1183,2017-02-01,133.23,50139800,-0.741020793950843,-1,0.0223296500920811,1,130.32,1.4809699201964448,1,1,-1,1
1184,2017-02-02,130.84,54366400,1.7865185407596424,1,-0.017938902649553334,-1,133.23,-0.007505817008174514,-1,-1,1,-1
1185,2017-02-03,130.98,24804900,0.19811033221580257,1,0.0010700091715070137,1,130.84,0.30571690614491415,1,1,1,1
1186,2017-02-06,132.06,17058500,-0.8245533669262579,-1,0.008245533669262617,1,130.98,0.0,-1,1,-1,-1
1187,2017-02-07,131.84,14596400,0.30248033877798375,1,-0.0016659094351052506,-1,132.06,0.1363016810540715,1,-1,1,1
1188,2017-02-08,134.2,22390600,-1.2066365007541435,-1,0.017900485436893154,1,131.84,0.5764563106796047,1,1,-1,1
1189,2017-02-09,134.14,16470600,0.26024239720427,1,-0.00044709388971686526,-1,134.2,0.21609538002982154,1,-1,1,1
1190,2017-02-10,134.19,15061900,-0.06711409395973408,-1,0.00037274489339500505,1,134.14,-0.029819591471590908,-1,1,-1,-1
1191,2017-02-13,134.05,13526200,0.48255382331104474,1,-0.0010432968179445723,-1,134.19,0.380058126536993,1,-1,1,1
1192,2017-02-14,133.85,14364900,0.18642803877703207,1,-0.0014919806042522632,-1,134.05,0.03729951510629089,1,-1,1,1
1193,2017-02-15,133.44,13226500,0.007493443237160664,1,-0.00306313036981698,-1,133.85,-0.2988419872992198,-1,-1,1,-1
1194,2017-02-16,133.84,12831100,-0.5786428195686558,-1,0.002997601918465209,1,133.44,-0.27727817745803696,-1,1,-1,-1
1195,2017-02-17,133.53,12276500,-0.022471910112360403,-1,-0.0023161984459055818,-1,133.84,-0.2540346682606122,-1,-1,-1,-1
1196,2017-02-21,133.72,14759100,-0.16479400749063586,-1,0.0014229012206994351,1,133.53,-0.02246686137946614,-1,1,-1,-1
1197,2017-02-22,136.12,27360100,-1.8862275449101875,-1,0.017947950942267532,1,133.72,-0.08973975471134052,-1,1,-1,-1
1198,2017-02-23,135.36,18422500,0.39002134079032513,1,-0.005583308845136581,-1,136.12,-0.16896855715546444,-1,-1,1,-1
1199,2017-02-24,135.44,12625700,-0.9540846750149083,-1,0.0005910165484632746,1,135.36,-0.8865248226950481,-1,1,-1,-1
1200,2017-02-27,136.41,14306700,-0.8502144018926554,-1,0.007161842882457137,1,135.44,-0.1329001772002413,-1,1,-1,-1
1201,2017-02-28,135.54,16112100,0.9138094889977337,1,-0.006377831537277334,-1,136.41,0.2785719522029143,1,-1,1,1
1202,2017-03-01,137.42,16257000,-0.6961236901883114,-1,0.013870444149328476,1,135.54,0.6861443116423247,1,1,-1,1
1203,2017-03-02,136.76,12294800,0.2407177766430903,1,-0.004802794353078177,-1,137.42,-0.2401397176538962,-1,-1,1,-1
1204,2017-03-03,137.17,11160600,-0.3952279879967738,-1,0.0029979526177243976,1,136.76,-0.095057034220529,-1,1,-1,-1
1205,2017-03-06,137.42,12748200,-0.3945061367621216,-1,0.0018225559524678303,1,137.17,-0.21141649048625213,-1,1,-1,-1
1206,2017-03-07,137.3,13527100,-0.1970371451507044,-1,-0.0008732353369230728,-1,137.42,-0.2838014845000629,-1,-1,-1,-1
1207,2017-03-08,137.72,10184500,-0.4156033539919746,-1,0.0030589949016750495,1,137.3,-0.10924981791697427,-1,1,-1,-1
1208,2017-03-09,138.24,15535300,-0.37757769387163104,-1,0.0037757769387163354,1,137.72,0.0,-1,1,-1,-1
1209,2017-03-10,138.79,16314100,0.0863868691958855,1,0.0039785879629627985,1,138.24,0.4846643518518428,1,1,1,1
1210,2017-03-13,139.6,10955500,-0.6416264148222812,-1,0.005836155342603844,1,138.79,-0.057641040420768126,-1,1,-1,-1
1211,2017-03-14,139.32,12944000,0.10038720780153074,1,-0.0020057306590257618,-1,139.6,-0.10028653295127964,-1,-1,1,-1
1212,2017-03-15,139.72,19344800,-0.3087084499964153,-1,0.0028710881424061085,1,139.32,-0.021533161068045606,-1,1,-1,-1
1213,2017-03-16,139.99,13612900,0.14978601997145474,1,0.001932436301173901,1,139.72,0.34354423131977513,1,1,1,1
1214,2017-03-17,139.84,20592800,0.3562776115148924,1,-0.001071505107507753,-1,139.99,0.25001785841845436,1,-1,1,1
1215,2017-03-20,139.94,12099500,-0.16462672679120302,-1,0.0007151029748282411,1,139.84,-0.09296338672768553,-1,1,-1,-1
1216,2017-03-21,138.51,29894800,1.870350690754527,1,-0.01021866514220382,-1,139.94,0.8646562812634043,1,-1,1,1
1217,2017-03-22,139.59,17055400,-1.2035090263176949,-1,0.007797270955165692,1,138.51,-0.4187423290737016,-1,1,-1,-1
1218,2017-03-23,139.53,13022800,-0.03584743332378217,-1,-0.0004298302170643309,-1,139.59,-0.0788022064617907,-1,-1,-1,-1
1219,2017-03-24,140.34,16664700,-0.18560822387206657,-1,0.005805203182111418,1,139.53,0.3941804629828792,1,1,-1,1
1220,2017-03-27,140.32,12800500,-0.9133405249909972,-1,-0.0001425110446060529,-1,140.34,-0.9191962377084167,-1,-1,-1,-1
1221,2017-03-28,141.76,14679400,-0.9974351667141473,-1,0.010262257696693311,1,140.32,0.028506271379718118,1,1,-1,1
1222,2017-03-29,142.65,16527600,-0.4648214663004413,-1,0.006278216704288964,1,141.76,0.1622460496614124,1,1,-1,1
