,date,msft_close,msft_vol,msft_intra_perc_change,msft_intra_returns,msft_pct_change,msft_pct_returns,msft_previous_close,msft_opening_change,msft_opening_returns,msft_target,msft_intra_target,msft_open_target
1336,2015-07-20,46.92,30631900,-0.5787781350482383,-1,0.006435006435006496,1,46.62,0.0643500643500668,1,1,-1,1
1337,2015-07-21,47.28,42781900,-1.0688328345446771,-1,0.007672634271099765,1,46.92,-0.2983802216538801,-1,1,-1,-1
1338,2015-07-22,45.54,59152400,-0.2200704225352144,-1,-0.03680203045685282,-1,47.28,-3.8917089678511068,-1,-1,-1,-1
1339,2015-07-23,46.11,33934000,-1.8555334658714298,-1,0.012516469038208244,1,45.54,-0.5928853754940624,-1,1,-1,-1
1340,2015-07-24,45.94,32333200,-0.06534524068830569,-1,-0.0036868358273693946,-1,46.11,-0.43374539145522195,-1,-1,-1,-1
1341,2015-07-27,45.35,39701400,1.284283848498033,1,-0.012842838484980357,-1,45.94,0.0,-1,-1,1,-1
1342,2015-07-28,45.34,34328900,0.526546731022367,1,-0.00022050716648291946,-1,45.35,0.5071664829106877,1,-1,1,1
1343,2015-07-29,46.29,40945900,-1.9603524229074902,-1,0.020952801058667703,1,45.34,0.1323334803705231,1,1,-1,1
1344,2015-07-30,46.88,39777900,-1.340250756593179,-1,0.012745733419745164,1,46.29,-0.06480881399870629,-1,1,-1,-1
1345,2015-07-31,46.7,31201500,1.2476210615352006,1,-0.0038395904436859807,-1,46.88,0.8745733788395832,1,-1,1,1
1346,2015-08-03,46.81,24125900,0.3618561089825343,1,0.00235546038543899,1,46.7,0.5995717344753619,1,1,1,1
1347,2015-08-04,47.54,33403900,-1.6898395721925117,-1,0.015594958342234566,1,46.81,-0.12817773979919306,-1,1,-1,-1
1348,2015-08-05,47.58,26959700,0.8336807002917853,1,0.0008413967185527671,1,47.54,0.9255363904080726,1,1,1,1
1349,2015-08-06,46.62,27368000,2.284636344581856,1,-0.020176544766708715,-1,47.58,0.27322404371585235,1,-1,1,1
1350,2015-08-07,46.74,19163000,-0.7544729467557694,-1,0.002574002574002643,1,46.62,-0.49335049335048664,-1,1,-1,-1
1351,2015-08-10,47.33,23079900,-0.8093716719914705,-1,0.012623020967051701,1,46.74,0.4492939666238786,1,1,-1,1
1352,2015-08-11,46.41,29237400,0.8756941478000932,1,-0.01943798859074586,-1,47.33,-1.0775406718782972,-1,-1,1,-1
1353,2015-08-12,46.74,30181400,-1.1907339250920206,-1,0.007110536522301425,1,46.41,-0.47403576815341286,-1,1,-1,-1
1354,2015-08-13,46.73,22627200,0.7012324691882817,1,-0.00021394950791620015,-1,46.74,0.6846384253316223,1,-1,1,1
1355,2015-08-14,47.0,21473400,-1.0101010101010075,-1,0.005777872886796542,1,46.73,-0.42799058420713837,-1,1,-1,-1
1356,2015-08-17,47.32,21099700,-1.0895107882930954,-1,0.006808510638297793,1,47.0,-0.4042553191489313,-1,1,-1,-1
1357,2015-08-18,47.27,23574100,-0.9180187873612291,-1,-0.0010566356720201897,-1,47.32,-1.0143702451394694,-1,-1,-1,-1
1358,2015-08-19,46.61,31485500,0.3634031637451939,1,-0.01396234398138363,-1,47.27,-1.0365982652845398,-1,-1,1,-1
1359,2015-08-20,45.66,36238200,0.8899500759713559,1,-0.020381892297790194,-1,46.61,-1.1585496674533342,-1,-1,1,-1
1360,2015-08-21,43.07,70053100,4.922737306843261,1,-0.056723609286027044,-1,45.66,-0.78843626806833,-1,-1,1,-1
1361,2015-08-24,41.68,88753700,-3.0407911001236014,-1,-0.03227304388205243,-1,43.07,-6.083120501509165,-1,-1,-1,-1
1362,2015-08-25,40.47,70616600,4.933051444679355,1,-0.029030710172744723,-1,41.68,2.1353166986564314,1,-1,1,1
1363,2015-08-26,42.71,63408000,-1.666269935729595,-1,0.05534964170990864,1,40.47,3.8052878675562125,1,1,-1,1
1364,2015-08-27,43.9,50943200,-1.549849641452699,-1,0.027862327323811664,1,42.71,1.2175134628892437,1,1,-1,1
1365,2015-08-28,43.93,28246700,-1.2211981566820302,-1,0.0006833712984055662,1,43.9,-1.1389521640091116,-1,1,-1,-1
1366,2015-08-31,43.52,34441700,0.09182736455463532,1,-0.00933302982016837,-1,43.93,-0.8422490325517812,-1,-1,1,-1
1367,2015-09-01,41.82,49688900,0.8299739151055286,1,-0.03906250000000011,-1,43.52,-3.1020220588235325,-1,-1,1,-1
1368,2015-09-02,43.36,37671500,-2.3607176581680833,-1,0.03682448589191778,1,41.82,1.291248206599711,1,1,-1,1
1369,2015-09-03,43.5,28285200,-0.20732550103663536,-1,0.0032287822878229733,1,43.36,0.11531365313652482,1,1,-1,1
1370,2015-09-04,42.61,37138800,0.4671805652884906,1,-0.020459770114942488,-1,43.5,-1.586206896551719,-1,-1,1,-1
1371,2015-09-08,43.89,32469800,-1.3625866050808395,-1,0.03003989673785501,1,42.61,1.619338183524989,1,1,-1,1
1372,2015-09-09,43.07,33469500,2.5786021262157894,1,-0.0186830713146503,-1,43.89,0.7290954659375719,1,-1,1,1
1373,2015-09-10,43.29,31366600,-0.3942486085343268,-1,0.005107963779893199,1,43.07,0.11609008590665697,1,1,-1,1
1374,2015-09-11,43.48,27132500,-0.7881316643486238,-1,0.004389004389004247,1,43.29,-0.3465003465003432,-1,1,-1,-1
1375,2015-09-14,43.04,23656000,0.8979967764218295,1,-0.010119595216191324,-1,43.48,-0.1149954001839861,-1,-1,1,-1
1376,2015-09-15,43.98,28882200,-1.8291271127575808,-1,0.02184014869888462,1,43.04,0.34851301115241307,1,1,-1,1
1377,2015-09-16,44.3,23372200,-0.7505117125312675,-1,0.007276034561164213,1,43.98,-0.022737608003633496,-1,1,-1,-1
1378,2015-09-17,44.25,32768200,0.09031384059606942,1,-0.0011286681715575453,-1,44.3,-0.022573363431146753,-1,-1,1,-1
1379,2015-09-18,43.48,63143700,0.04597701149426006,1,-0.017401129943502847,-1,44.25,-1.694915254237288,-1,-1,1,-1
1380,2015-09-21,44.11,26177200,-1.1233379183860661,-1,0.01448942042318313,1,43.48,0.3219871205151807,1,1,-1,1
1381,2015-09-22,43.9,28085900,-1.1987090825265005,-1,-0.004760825209703001,-1,44.11,-1.6549535252777077,-1,-1,-1,-1
1382,2015-09-23,43.87,17145200,0.13658092419759224,1,-0.0006833712984054552,-1,43.9,0.0683371298405493,1,-1,1,1
1383,2015-09-24,43.91,27905600,-1.0586881472957277,-1,0.0009117848187827349,1,43.87,-0.9573740597218933,-1,1,-1,-1
1384,2015-09-25,43.94,29384600,1.2140287769784155,1,0.0006832156684126733,1,43.91,1.2981097699840591,1,1,1,1
1385,2015-09-28,43.29,27613800,1.2320328542094436,1,-0.014792899408283988,-1,43.94,-0.25034137460172834,-1,-1,1,-1
1386,2015-09-29,43.44,32763600,-0.16140189070786326,-1,0.0034650034650034467,1,43.29,0.18480018480018087,1,1,-1,1
1387,2015-09-30,44.26,34958900,-0.8659981768459332,-1,0.01887661141804786,1,43.44,1.0128913443830683,1,1,-1,1
1388,2015-10-01,44.61,28657900,0.31284916201117446,1,0.00790781744238589,1,44.26,1.1070944419340307,1,1,1,1
1389,2015-10-02,45.57,41839000,-2.9365258640162573,-1,0.02151983860121054,1,44.61,-0.7621609504595299,-1,1,-1,-1
1390,2015-10-05,46.63,34369300,-1.9234972677595683,-1,0.023260917270133907,1,45.57,0.394996708360763,1,1,-1,1
1391,2015-10-06,46.75,27017200,-0.9065400388517197,-1,0.0025734505683037145,1,46.63,-0.6433626420759259,-1,1,-1,-1
1392,2015-10-07,46.8,27711500,0.6369426751592447,1,0.0010695187165774556,1,46.75,0.7486631016042811,1,1,1,1
1393,2015-10-08,47.45,33772700,-1.9115120274914101,-1,0.013888888888889062,1,46.8,-0.5128205128205019,-1,1,-1,-1
1394,2015-10-09,47.11,28600600,0.7165437302423675,1,-0.007165437302423694,-1,47.45,0.0,-1,-1,1,-1
1395,2015-10-12,47.0,19769100,-0.04257130693912969,-1,-0.002334960730205893,-1,47.11,-0.2759499044788847,-1,-1,-1,-1
1396,2015-10-13,46.89,19987800,-0.7087628865979344,-1,-0.002340425531914936,-1,47.0,-0.9361702127659527,-1,-1,-1,-1
1397,2015-10-14,46.68,24697800,-0.06430868167202816,-1,-0.00447856685860526,-1,46.89,-0.5118362124120324,-1,-1,-1,-1
1398,2015-10-15,47.01,27189400,0.0,-1,0.007069408740359773,1,46.68,0.706940874035986,1,1,-1,1
1399,2015-10-16,47.51,26450300,-1.0421097405359312,-1,0.010636034886194468,1,47.01,0.02127206977239974,1,1,-1,1
1400,2015-10-19,47.62,29387600,-0.4217629692112942,-1,0.0023153020416755155,1,47.51,-0.1894338034098007,-1,1,-1,-1
1401,2015-10-20,47.77,30802200,-0.6956155143339069,-1,0.0031499370012599837,1,47.62,-0.3779924401511964,-1,1,-1,-1
1402,2015-10-21,47.2,25144300,1.502504173622702,1,-0.01193217500523347,-1,47.77,0.3140046054008762,1,-1,1,1
1403,2015-10-22,48.03,56637100,-1.0519671786240268,-1,0.01758474576271185,1,47.2,0.6991525423728777,1,1,-1,1
1404,2015-10-23,52.87,135227100,-1.0898661567877634,-1,0.10077035186341865,1,48.03,8.89027691026441,1,1,-1,1
1405,2015-10-26,54.25,64633300,-3.274319436512467,-1,0.02610175903158707,1,52.87,-0.6430868167202503,-1,1,-1,-1
1406,2015-10-27,53.69,50999900,0.5556584552695022,1,-0.010322580645161339,-1,54.25,-0.4792626728110563,-1,-1,1,-1
1407,2015-10-28,53.98,47000800,-0.8218154650728384,-1,0.005401378282734237,1,53.69,-0.2793816353138361,-1,1,-1,-1
1408,2015-10-29,53.36,30202100,0.33619723571161697,1,-0.011485735457576807,-1,53.98,-0.8151167098925487,-1,-1,1,-1
1409,2015-10-30,52.64,46619800,1.2753188297074263,1,-0.013493253373313308,-1,53.36,-0.07496251874062809,-1,-1,1,-1
1410,2015-11-02,53.24,30285000,-0.7379375591296131,-1,0.011398176291793405,1,52.64,0.39893617021276756,1,1,-1,1
1411,2015-11-03,54.15,36596900,-2.3049310409975416,-1,0.017092411720510903,1,53.24,-0.582268970698727,-1,1,-1,-1
1412,2015-11-04,54.4,37087800,-0.40605389442598533,-1,0.004616805170821747,1,54.15,0.05540166204986359,1,1,-1,1
1413,2015-11-05,54.38,31468500,0.20187190310148548,1,-0.0003676470588234171,-1,54.4,0.1654411764705945,1,-1,1,1
1414,2015-11-06,54.92,32851200,-1.534479571085225,-1,0.009930121368149969,1,54.38,-0.5332842956969458,-1,1,-1,-1
1415,2015-11-09,54.16,32513100,0.7149404216315318,1,-0.013838310269483012,-1,54.92,-0.6737072104879908,-1,-1,1,-1
1416,2015-11-10,53.51,55283700,1.0356944701313155,1,-0.012001477104874425,-1,54.16,-0.16617429837517783,-1,-1,1,-1
1417,2015-11-11,53.65,36516300,0.09310986964619043,1,0.0026163333956270574,1,53.51,0.3550738179779571,1,1,1,1
1418,2015-11-12,53.32,35361100,0.29917726252804155,1,-0.0061509785647716475,-1,53.65,-0.31686859273066487,-1,-1,1,-1
1419,2015-11-13,52.84,36848200,0.4333898624458204,1,-0.00900225056264059,-1,53.32,-0.46886721680420107,-1,-1,1,-1
1420,2015-11-16,53.77,32165200,-1.2999246420497454,-1,0.017600302800908407,1,52.84,0.4542013626040781,1,1,-1,1
1421,2015-11-17,52.97,31551300,0.3761519653940245,1,-0.014878184861446986,-1,53.77,-1.1158638646085204,-1,-1,1,-1
1422,2015-11-18,53.85,29710000,-1.6037735849056631,-1,0.01661317727015299,1,52.97,0.05663583160279618,1,1,-1,1
1423,2015-11-19,53.94,28149200,0.09260974254492362,1,0.0016713091922004875,1,53.85,0.2599814298978655,1,1,1,1
1424,2015-11-20,54.19,37147600,0.11059907834101801,1,0.0046347793845014085,1,53.94,0.5747126436781652,1,1,1,1
1425,2015-11-23,54.19,28235900,0.11059907834101801,1,0.0,-1,54.19,0.11072153533862757,1,-1,1,1
1426,2015-11-24,54.25,24600000,-0.6120178041542995,-1,0.001107215353386204,1,54.19,-0.4982469090237978,-1,1,-1,-1
1427,2015-11-25,53.69,21005100,0.7395082270290362,1,-0.010322580645161339,-1,54.25,-0.2949308755760306,-1,-1,1,-1
