,date,google_compound,google_sentiment,amazon_compound,amazon_sentiment,fb_compound,fb_neg,fb_neu,fb_pos,fb_sentiment,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
62,2016-07-05,0.0,-1,0.5337000000000001,1,-0.9176,0.504,2.496,0.0,-1,-1.9674,-1,-0.9502,-1
63,2016-07-06,0.4019,1,1.4743,1,-0.3816,0.37799999999999995,2.4419999999999997,0.18,-1,-2.7688,-1,0.9046,1
64,2016-07-08,0.8149,1,0.4215,1,-0.2993,0.6679999999999999,3.0090000000000003,0.32299999999999995,-1,-0.45899999999999996,-1,-0.15339999999999998,-1
65,2016-07-12,0.7398,1,0.7903,1,-0.8403999999999999,0.5640000000000001,3.256,0.18,-1,-0.29600000000000004,-1,0.8326,1
66,2016-07-13,0.0,-1,2.1449,1,-1.3763999999999998,0.7230000000000001,2.2769999999999997,0.0,-1,-1.3634,-1,0.4215,1
67,2016-07-14,0.0772,1,1.5391999999999997,1,0.0,0.0,2.0,0.0,-1,-0.7218,-1,-0.4742999999999999,-1
68,2016-07-18,0.7351,1,0.2023,1,-0.4588,0.231,1.769,0.0,-1,0.4404,1,2.4696,1
69,2016-07-19,0.732,1,0.4703,1,-0.6882,1.6019999999999999,5.683,0.715,-1,0.0,-1,0.0,-1
70,2016-07-20,0.024500000000000025,1,1.1684,1,0.8859999999999999,0.18600000000000003,1.824,0.989,1,0.8494,1,-0.38299999999999995,-1
71,2016-07-26,0.4939,1,1.9965,1,-0.9176,0.45,1.55,0.0,-1,-0.8805,-1,0.4215,1
72,2016-07-27,0.13400000000000006,1,1.4767,1,0.0,0.0,9.0,0.0,-1,0.5431,1,1.2318,1
73,2016-07-29,0.4962,1,-0.3813999999999999,-1,0.7820999999999999,0.231,2.3040000000000003,0.465,1,0.0,-1,1.1626,1
74,2016-08-09,-0.4588,-1,0.2548,1,-1.1136,0.7020000000000001,4.082,0.21600000000000003,-1,-0.17659999999999998,-1,1.5725,1
75,2016-08-10,0.0,-1,0.3305,1,0.8521000000000001,0.2,4.129,0.6709999999999999,1,-0.4019,-1,0.0,-1
76,2016-08-11,-1.4599,-1,0.7116,1,-0.732,0.504,2.496,0.0,-1,0.2023,1,0.8805,1
77,2016-08-15,-0.4404,-1,0.1779,1,0.7547999999999999,0.0,3.619,0.381,1,-0.1059,-1,0.0,-1
78,2016-08-22,-0.4588,-1,0.8808,1,-0.11879999999999995,0.512,5.0360000000000005,0.452,-1,0.0,-1,-0.4588,-1
79,2016-08-23,1.2405999999999997,1,1.3413,1,0.0,0.0,1.0,0.0,-1,0.25349999999999995,1,0.0,-1
80,2016-08-30,2.7414,1,1.8946,1,0.3008,0.9059999999999999,7.0939999999999985,1.0,1,0.0,-1,0.6908,1
81,2016-08-31,-0.5574,-1,3.692,1,-0.28069999999999995,0.5,2.241,0.259,-1,-0.1027,-1,1.2197,1
