,date,open,high,low,close,volume,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
736,2017-10-16,353.76,354.48,347.16,350.6,5375500,0.8932620733474127,1,-0.01397755969895398,-1,355.570007,-0.5090409664389812,-1,-1,1,-1,-1.1849,-1.0,0.8066,1.0
737,2017-10-17,350.91,356.22,350.07,355.75,3293300,-1.379269882542301,-1,0.014689087027568437,1,350.600006,0.08841927971901042,1,1,-1,1,0.256,1.0,0.0,0.0
738,2017-10-18,355.97,363.0,354.13,359.65,4939100,-1.0337930133612652,-1,0.01096273787772306,1,355.75,0.06184146170062345,1,1,-1,1,-0.128,-1.0,-0.3804,-1.0
739,2017-10-19,355.56,357.15,348.2,351.81,5061800,1.0546743225035118,1,-0.02179896046376684,-1,359.649994,-1.1372156452753854,-1,-1,1,-1,0.06469999999999998,1.0,2.7833,1.0
740,2017-10-20,352.69,354.55,344.34,345.1,4930400,2.1520303827608886,1,-0.019072772343439737,-1,351.809998,0.2501361544591423,1,-1,1,1,0.09820000000000008,1.0,0.9193,1.0
741,2017-10-23,349.88,349.95,336.25,337.02,5747300,3.675550421922503,1,-0.023413552186376974,-1,345.100006,1.3851054525916109,1,-1,1,1,0.29789999999999994,1.0,0.0,0.0
742,2017-10-24,338.8,342.8,336.16,337.34,4491700,0.4309303576480646,1,0.0009495193473523237,1,337.019989,0.5281582867774574,1,1,1,1,0.6733999999999999,1.0,0.4215,1.0
743,2017-10-25,336.7,337.5,323.56,325.84,8594100,3.2254278624736226,1,-0.03409023577506653,-1,337.339996,-0.18971483001973172,-1,-1,1,-1,1.0203,1.0,0.0,0.0
744,2017-10-26,327.78,330.23,323.2,326.17,5023500,0.4911788409640117,1,0.0010128191874885226,1,325.839996,0.5953851656688723,1,1,1,1,-0.6955,-1.0,-1.3049000000000002,-1.0
745,2017-10-27,319.75,324.59,316.66,320.87,6979700,-0.35027208756841816,-1,-0.01624924974326181,-1,326.170013,-1.9683026471228624,-1,-1,-1,-1,0.7775999999999998,1.0,0.0,0.0
