,date,dji_open,dji_high,dji_low,dji_close,dji_vol,dji_perc_change,dji_return,dji_previous_day_return,dji_previous_perc_change
2038,2018-05-03,23836.230469,23996.150391,23531.310547,23930.150391,389240000,0.3940217062515304,1,-1.0,-0.7164620912745077
2039,2018-05-04,23865.220703,24333.349609,23778.869141,24262.509766,329480000,1.6647198362178088,1,1.0,0.3940217062515304
2040,2018-05-07,24317.660156,24479.449219,24263.419922,24357.320313,307670000,0.16309199464740817,1,1.0,1.6647198362178088
2041,2018-05-08,24341.349609,24412.339844,24198.339844,24360.210938,344940000,0.0774867840237814,1,1.0,0.16309199464740817
2042,2018-05-09,24399.179688,24586.480469,24323.869141,24542.539063,361580000,0.5875581754517222,1,1.0,0.0774867840237814
2043,2018-05-10,24591.660156,24794.990234,24575.910156,24739.529297,304210000,0.6012979199532462,1,1.0,0.5875581754517222
2044,2018-05-11,24758.640625,24868.650391,24717.5,24831.169922,274150000,0.29294539267541453,1,1.0,0.6012979199532462
2045,2018-05-14,24879.369141,24994.189453,24862.519531,24899.410156,282860000,0.08055274587720913,1,1.0,0.29294539267541453
2046,2018-05-15,24809.550781,24809.550781,24629.390625,24706.410156,301900000,-0.41572951445371836,-1,1.0,0.08055274587720913
2047,2018-05-16,24722.320313,24801.189453,24672.789063,24768.929688,280810000,0.18853155533095692,1,-1.0,-0.41572951445371836
2048,2018-05-17,24752.400391,24839.490234,24639.400391,24713.980469,314650000,-0.1552169542876758,-1,1.0,0.18853155533095692
2049,2018-05-18,24707.720703,24774.970703,24664.869141,24715.089844,269700000,0.02982525619655584,1,-1.0,-0.1552169542876758
2050,2018-05-21,24883.060547,25086.490234,24883.060547,25013.289063,308920000,0.5233621312539871,1,1.0,0.02982525619655584
2051,2018-05-22,25047.550781,25064.990234,24812.060547,24834.410156,288200000,-0.8509439779704104,-1,1.0,0.5233621312539871
2052,2018-05-23,24757.710938,24889.460938,24667.119141,24886.810547,399610000,0.52145212181894,1,-1.0,-0.8509439779704104
2053,2018-05-24,24877.359375,24877.359375,24605.900391,24811.759766,347050000,-0.263692010117134,-1,1.0,0.52145212181894
2054,2018-05-25,24781.289063,24824.220703,24687.810547,24753.089844,257210000,-0.11379238153557188,-1,-1.0,-0.263692010117134
2055,2018-05-29,24606.589844,24635.179688,24247.839844,24361.449219,395810000,-0.99623973315333,-1,-1.0,-0.11379238153557188
2056,2018-05-30,24467.830078,24714.480469,24459.089844,24667.779297,324870000,0.8171922821214301,1,-1.0,-0.99623973315333
2057,2018-05-31,24620.789063,24620.789063,24352.150391,24415.839844,429740000,-0.8324234388896925,-1,1.0,0.8171922821214301
2058,2018-06-01,24542.089844,24673.599609,24542.089844,24635.210938,315710000,0.37943424782453056,1,-1.0,-0.8324234388896925
2059,2018-06-04,24727.550781,24859.369141,24722.140625,24813.689453,340400000,0.34835100638508854,1,1.0,0.37943424782453056
2060,2018-06-05,24820.119141,24838.779297,24710.820313,24799.980469,306340000,-0.08113849851241918,-1,1.0,0.34835100638508854
2061,2018-06-06,24854.140625,25146.460938,24854.140625,25146.390625,316090000,1.175860410582995,1,-1.0,-0.08113849851241918
2062,2018-06-07,25192.140625,25326.089844,25164.480469,25241.410156,357680000,0.19557500783045004,1,1.0,1.175860410582995
2063,2018-06-08,25209.289063,25325.630859,25165.699219,25316.529297,317510000,0.4253996760162454,1,1.0,0.19557500783045004
2064,2018-06-11,25336.669922,25402.830078,25290.199219,25322.310547,276740000,-0.05667427899643456,-1,1.0,0.4253996760162454
2065,2018-06-12,25346.820313,25364.369141,25247.039063,25320.730469,265750000,-0.1029314276024627,-1,-1.0,-0.05667427899643456
2066,2018-06-13,25328.650391,25362.070313,25191.419922,25201.199219,329700000,-0.5031897477067631,-1,-1.0,-0.1029314276024627
2067,2018-06-14,25254.650391,25332.5,25138.599609,25175.310547,341170000,-0.3141593440084706,-1,-1.0,-0.5031897477067631
2068,2018-06-15,25116.710938,25130.820313,24894.380859,25090.480469,659370000,-0.10443433085148444,-1,-1.0,-0.3141593440084706
2069,2018-06-18,24944.279297,25003.099609,24825.769531,24987.470703,337070000,0.17315154904151767,1,-1.0,-0.10443433085148444
2070,2018-06-19,24763.589844,24763.589844,24567.75,24700.210938,376380000,-0.25593585743932135,-1,1.0,0.17315154904151767
