,date,tsla_intra_target,tsla_sentiment,em_tweets3_sentiment,dax_return,cac_return,dji_previous_day_return,MA5,MA10,MA20,MA50,change,volatility,tsla_intra_target_lag1,tsla_sentiment_lag1,em_tweets3_sentiment_lag1,dax_return_lag1,cac_return_lag1,dji_previous_day_return_lag1,MA5_lag1,MA10_lag1,MA20_lag1,MA50_lag1,change_lag1,volatity_lag1,tsla_intra_target_lag2,tsla_sentiment_lag2,em_tweets3_sentiment_lag2,dax_return_lag2,cac_return_lag2,dji_previous_day_return_lag2,MA5_lag2,MA10_lag2,MA20_lag2,MA50_lag2,change_lag2,volatity_lag2,tsla_intra_target_lag3,tsla_sentiment_lag3,em_tweets3_sentiment_lag3,dax_return_lag3,cac_return_lag3,dji_previous_day_return_lag3,MA5_lag3,MA10_lag3,MA20_lag3,MA50_lag3,change_lag3,volatity_lag3
1437,2016-03-16,0.0,1.0,0.0,1.0,-1.0,1.0,217.85999760000007,217.68599999999984,214.92899999999986,210.60280049999986,0.01630852276108825,0.027135456596102184,0.0,0.0,1.0,1.0,1.0,-1.0,204.56599720000008,201.59099869999986,203.97649909999973,203.18240069999996,0.029760024189993125,0.03745821844609041,0.0,1.0,0.0,1.0,1.0,1.0,210.97799680000008,211.2129973999998,211.02299944999984,207.33640065999992,0.036204091726334924,0.02773409376128887,1.0,-1.0,0.0,1.0,1.0,-1.0,207.82999880000008,208.1489973999998,209.0069990999998,205.71580067999992,0.01124373112757245,0.029705010978103536
1438,2016-03-17,0.0,0.0,0.0,-1.0,-1.0,1.0,222.90799860000007,220.84999989999986,216.95599964999988,212.64240041999986,0.019853039997870303,0.027049841844226964,1.0,0.0,0.0,-1.0,-1.0,1.0,205.8579986000001,204.78999769999984,206.8279989999998,204.33420063999995,-0.01710603707640021,0.02894606767012326,0.0,0.0,0.0,-1.0,-1.0,1.0,213.61999520000006,214.38299859999984,213.01899939999984,208.90740071999988,0.014718031134984112,0.02729696729971169,0.0,1.0,0.0,1.0,1.0,1.0,210.97799680000008,211.2129973999998,211.02299944999984,207.33640065999992,0.036204091726334924,0.02773409376128887
1439,2016-03-18,0.0,1.0,1.0,1.0,1.0,1.0,227.54200120000004,222.23599999999985,219.02750004999993,214.64320027999986,0.02770694687209997,0.0223991619166138,1.0,-1.0,0.0,1.0,1.0,-1.0,207.82999880000008,208.1489973999998,209.0069990999998,205.71580067999992,0.01124373112757245,0.029705010978103536,0.0,1.0,0.0,1.0,-1.0,1.0,217.85999760000007,217.68599999999984,214.92899999999986,210.60280049999986,0.01630852276108825,0.027135456596102184,0.0,0.0,0.0,-1.0,-1.0,1.0,213.61999520000006,214.38299859999984,213.01899939999984,208.90740071999988,0.014718031134984112,0.02729696729971169
1440,2016-03-21,0.0,1.0,0.0,1.0,1.0,1.0,230.72200300000003,224.4930006999998,221.11999959999991,216.84480031999988,0.02369236561416837,0.02179933845654201,0.0,1.0,0.0,1.0,1.0,1.0,210.97799680000008,211.2129973999998,211.02299944999984,207.33640065999992,0.036204091726334924,0.02773409376128887,0.0,0.0,0.0,-1.0,-1.0,1.0,222.90799860000007,220.84999989999986,216.95599964999988,212.64240041999986,0.019853039997870303,0.027049841844226964,0.0,1.0,0.0,1.0,-1.0,1.0,217.85999760000007,217.68599999999984,214.92899999999986,210.60280049999986,0.01630852276108825,0.027135456596102184
1441,2016-03-22,1.0,1.0,0.0,1.0,1.0,1.0,230.85200480000003,226.76900019999982,223.41750019999984,218.87180043999993,-0.017268085658724078,0.02150188834219997,0.0,0.0,0.0,-1.0,-1.0,1.0,213.61999520000006,214.38299859999984,213.01899939999984,208.90740071999988,0.014718031134984112,0.02729696729971169,0.0,1.0,1.0,1.0,1.0,1.0,227.54200120000004,222.23599999999985,219.02750004999993,214.64320027999986,0.02770694687209997,0.0223991619166138,0.0,0.0,0.0,-1.0,-1.0,1.0,222.90799860000007,220.84999989999986,216.95599964999988,212.64240041999986,0.019853039997870303,0.027049841844226964
1442,2016-03-23,1.0,-1.0,0.0,-1.0,-1.0,-1.0,231.12600380000003,228.2670012999998,225.92650059999986,220.92580067999992,-0.05105965558776248,0.01977307913106076,0.0,1.0,0.0,1.0,-1.0,1.0,217.85999760000007,217.68599999999984,214.92899999999986,210.60280049999986,0.01630852276108825,0.027135456596102184,0.0,1.0,0.0,1.0,1.0,1.0,230.72200300000003,224.4930006999998,221.11999959999991,216.84480031999988,0.02369236561416837,0.02179933845654201,0.0,1.0,1.0,1.0,1.0,1.0,227.54200120000004,222.23599999999985,219.02750004999993,214.64320027999986,0.02770694687209997,0.0223991619166138
1443,2016-03-24,0.0,0.0,0.0,-1.0,-1.0,-1.0,230.6300018000001,229.1220015999998,229.06750094999984,222.85180073999993,0.022961939609255258,0.024053448042274238,0.0,0.0,0.0,-1.0,-1.0,1.0,222.90799860000007,220.84999989999986,216.95599964999988,212.64240041999986,0.019853039997870303,0.027049841844226964,1.0,1.0,0.0,1.0,1.0,1.0,230.85200480000003,226.76900019999982,223.41750019999984,218.87180043999993,-0.017268085658724078,0.02150188834219997,0.0,1.0,0.0,1.0,1.0,1.0,230.72200300000003,224.4930006999998,221.11999959999991,216.84480031999988,0.02369236561416837,0.02179933845654201
1444,2016-03-28,1.0,-1.0,0.0,0.0,0.0,1.0,228.99200140000008,229.90600269999973,231.49150149999986,224.43240101999993,0.010960547390866987,0.024196450057946187,0.0,1.0,1.0,1.0,1.0,1.0,227.54200120000004,222.23599999999985,219.02750004999993,214.64320027999986,0.02770694687209997,0.0223991619166138,1.0,-1.0,0.0,-1.0,-1.0,-1.0,231.12600380000003,228.2670012999998,225.92650059999986,220.92580067999992,-0.05105965558776248,0.01977307913106076,1.0,1.0,0.0,1.0,1.0,1.0,230.85200480000003,226.76900019999982,223.41750019999984,218.87180043999993,-0.017268085658724078,0.02150188834219997
1445,2016-03-29,0.0,1.0,1.0,-1.0,1.0,1.0,227.52200020000006,231.02700179999982,233.73600219999992,225.91220083999988,-0.0005646951647704267,0.02286634430170784,0.0,1.0,0.0,1.0,1.0,1.0,230.72200300000003,224.4930006999998,221.11999959999991,216.84480031999988,0.02369236561416837,0.02179933845654201,0.0,0.0,0.0,-1.0,-1.0,-1.0,230.6300018000001,229.1220015999998,229.06750094999984,222.85180073999993,0.022961939609255258,0.024053448042274238,1.0,-1.0,0.0,-1.0,-1.0,-1.0,231.12600380000003,228.2670012999998,225.92650059999986,220.92580067999992,-0.05105965558776248,0.01977307913106076
1446,2016-03-30,1.0,0.0,1.0,1.0,1.0,1.0,228.9600006000001,232.45200179999972,235.85700209999993,227.41660085999993,-0.01417907423753861,0.022936048927771284,1.0,1.0,0.0,1.0,1.0,1.0,230.85200480000003,226.76900019999982,223.41750019999984,218.87180043999993,-0.017268085658724078,0.02150188834219997,1.0,-1.0,0.0,0.0,0.0,1.0,228.99200140000008,229.90600269999973,231.49150149999986,224.43240101999993,0.010960547390866987,0.024196450057946187,0.0,0.0,0.0,-1.0,-1.0,-1.0,230.6300018000001,229.1220015999998,229.06750094999984,222.85180073999993,0.022961939609255258,0.024053448042274238
1447,2016-03-31,0.0,1.0,1.0,-1.0,-1.0,1.0,230.92799980000007,234.16700119999985,237.49050274999993,228.50820089999993,0.012613511869698993,0.023490139822579758,1.0,-1.0,0.0,-1.0,-1.0,-1.0,231.12600380000003,228.2670012999998,225.92650059999986,220.92580067999992,-0.05105965558776248,0.01977307913106076,0.0,1.0,1.0,-1.0,1.0,1.0,227.52200020000006,231.02700179999982,233.73600219999992,225.91220083999988,-0.0005646951647704267,0.02286634430170784,1.0,-1.0,0.0,0.0,0.0,1.0,228.99200140000008,229.90600269999973,231.49150149999986,224.43240101999993,0.010960547390866987,0.024196450057946187
1448,2016-04-01,1.0,1.0,1.0,-1.0,-1.0,-1.0,234.27400180000004,237.28500199999982,239.30000289999992,229.41520071999992,0.03346765622664659,0.021873115805051968,0.0,0.0,0.0,-1.0,-1.0,-1.0,230.6300018000001,229.1220015999998,229.06750094999984,222.85180073999993,0.022961939609255258,0.024053448042274238,1.0,0.0,1.0,1.0,1.0,1.0,228.9600006000001,232.45200179999972,235.85700209999993,227.41660085999993,-0.01417907423753861,0.022936048927771284,0.0,1.0,1.0,-1.0,1.0,1.0,227.52200020000006,231.02700179999982,233.73600219999992,225.91220083999988,-0.0005646951647704267,0.02286634430170784
